"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004392","Rother 001",0.63,0.6,0.66,0.22,0.17,0.27,0.8,0.78,0.82,"E07000064","Rother"
"E02004393","Rother 002",0.6,0.56,0.64,0.26,0.21,0.3,0.79,0.76,0.82,"E07000064","Rother"
"E02004394","Rother 003",0.66,0.62,0.69,0.21,0.16,0.26,0.82,0.79,0.84,"E07000064","Rother"
"E02004395","Rother 004",0.59,0.57,0.62,0.29,0.25,0.33,0.76,0.74,0.78,"E07000064","Rother"
"E02004396","Rother 005",0.62,0.58,0.66,0.24,0.19,0.29,0.81,0.78,0.84,"E07000064","Rother"
"E02004397","Rother 006",0.64,0.61,0.68,0.22,0.16,0.26,0.83,0.81,0.85,"E07000064","Rother"
"E02004398","Rother 007",0.56,0.53,0.59,0.32,0.27,0.35,0.74,0.71,0.76,"E07000064","Rother"
"E02004399","Rother 008",0.55,0.51,0.58,0.32,0.27,0.36,0.77,0.74,0.79,"E07000064","Rother"
"E02004400","Rother 009",0.6,0.56,0.63,0.27,0.23,0.31,0.81,0.79,0.83,"E07000064","Rother"
"E02004401","Rother 010",0.55,0.52,0.58,0.32,0.27,0.36,0.79,0.77,0.8,"E07000064","Rother"
"E02004402","Rother 011",0.6,0.57,0.63,0.29,0.24,0.33,0.79,0.77,0.81,"E07000064","Rother"
