"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004626","Forest of Dean 001",0.66,0.63,0.7,0.18,0.13,0.23,0.83,0.81,0.85,"E07000080","Forest of Dean"
"E02004627","Forest of Dean 002",0.63,0.6,0.65,0.22,0.17,0.26,0.81,0.8,0.83,"E07000080","Forest of Dean"
"E02004628","Forest of Dean 003",0.58,0.55,0.6,0.25,0.2,0.29,0.75,0.73,0.77,"E07000080","Forest of Dean"
"E02004629","Forest of Dean 004",0.57,0.54,0.6,0.27,0.23,0.31,0.72,0.7,0.74,"E07000080","Forest of Dean"
"E02004630","Forest of Dean 005",0.63,0.6,0.67,0.22,0.17,0.26,0.79,0.77,0.82,"E07000080","Forest of Dean"
"E02004631","Forest of Dean 006",0.67,0.64,0.7,0.18,0.13,0.23,0.83,0.81,0.84,"E07000080","Forest of Dean"
"E02004632","Forest of Dean 007",0.59,0.57,0.62,0.24,0.19,0.28,0.75,0.74,0.77,"E07000080","Forest of Dean"
"E02004633","Forest of Dean 008",0.63,0.6,0.66,0.23,0.19,0.27,0.76,0.74,0.78,"E07000080","Forest of Dean"
"E02004634","Forest of Dean 009",0.59,0.56,0.61,0.25,0.2,0.29,0.76,0.74,0.78,"E07000080","Forest of Dean"
"E02004635","Forest of Dean 010",0.65,0.63,0.67,0.2,0.15,0.24,0.82,0.8,0.83,"E07000080","Forest of Dean"
