"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004356","Eastbourne 001",0.59,0.56,0.63,0.3,0.25,0.34,0.73,0.7,0.75,"E07000061","Eastbourne"
"E02004357","Eastbourne 002",0.6,0.56,0.64,0.27,0.22,0.31,0.76,0.73,0.79,"E07000061","Eastbourne"
"E02004358","Eastbourne 003",0.55,0.5,0.59,0.33,0.28,0.38,0.71,0.67,0.74,"E07000061","Eastbourne"
"E02004359","Eastbourne 004",0.6,0.55,0.64,0.28,0.22,0.33,0.77,0.74,0.81,"E07000061","Eastbourne"
"E02004361","Eastbourne 006",0.64,0.6,0.69,0.23,0.18,0.28,0.81,0.78,0.84,"E07000061","Eastbourne"
"E02004362","Eastbourne 007",0.61,0.57,0.65,0.24,0.19,0.29,0.78,0.75,0.81,"E07000061","Eastbourne"
"E02004363","Eastbourne 008",0.64,0.6,0.69,0.23,0.17,0.28,0.81,0.78,0.84,"E07000061","Eastbourne"
"E02004364","Eastbourne 009",0.64,0.61,0.68,0.22,0.17,0.27,0.82,0.79,0.84,"E07000061","Eastbourne"
"E02004365","Eastbourne 010",0.66,0.62,0.7,0.22,0.16,0.26,0.78,0.75,0.81,"E07000061","Eastbourne"
"E02004366","Eastbourne 011",0.65,0.62,0.69,0.23,0.17,0.27,0.81,0.78,0.83,"E07000061","Eastbourne"
"E02004367","Eastbourne 012",0.65,0.61,0.68,0.24,0.18,0.28,0.83,0.8,0.85,"E07000061","Eastbourne"
"E02006857","Eastbourne 013",0.58,0.54,0.61,0.27,0.23,0.32,0.76,0.74,0.79,"E07000061","Eastbourne"
"E02006858","Eastbourne 014",0.63,0.6,0.66,0.23,0.18,0.27,0.79,0.78,0.81,"E07000061","Eastbourne"
