"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005612","Corby 001",0.62,0.58,0.66,0.23,0.18,0.28,0.8,0.76,0.83,"E07000150","Corby"
"E02005613","Corby 002",0.57,0.54,0.6,0.31,0.27,0.34,0.73,0.7,0.75,"E07000150","Corby"
"E02005614","Corby 003",0.6,0.56,0.64,0.24,0.19,0.28,0.8,0.76,0.82,"E07000150","Corby"
"E02005615","Corby 004",0.57,0.53,0.61,0.31,0.27,0.35,0.74,0.7,0.77,"E07000150","Corby"
"E02005616","Corby 005",0.58,0.53,0.62,0.3,0.26,0.35,0.74,0.7,0.77,"E07000150","Corby"
"E02005617","Corby 006",0.58,0.54,0.62,0.31,0.27,0.35,0.73,0.69,0.76,"E07000150","Corby"
"E02006862","Corby 008",0.64,0.61,0.68,0.22,0.18,0.27,0.81,0.79,0.84,"E07000150","Corby"
"E02006863","Corby 009",0.62,0.59,0.66,0.22,0.17,0.26,0.8,0.77,0.82,"E07000150","Corby"
