"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005189","Chorley 001",0.57,0.54,0.6,0.29,0.25,0.33,0.72,0.69,0.74,"E07000118","Chorley"
"E02005190","Chorley 002",0.68,0.65,0.72,0.19,0.14,0.24,0.83,0.81,0.85,"E07000118","Chorley"
"E02005191","Chorley 003",0.63,0.59,0.67,0.22,0.17,0.27,0.81,0.78,0.83,"E07000118","Chorley"
"E02005192","Chorley 004",0.69,0.65,0.72,0.17,0.12,0.22,0.84,0.82,0.87,"E07000118","Chorley"
"E02005193","Chorley 005",0.63,0.6,0.66,0.23,0.18,0.28,0.81,0.79,0.83,"E07000118","Chorley"
"E02005194","Chorley 006",0.65,0.62,0.68,0.23,0.18,0.27,0.81,0.78,0.83,"E07000118","Chorley"
"E02005195","Chorley 007",0.66,0.62,0.7,0.2,0.14,0.25,0.83,0.8,0.85,"E07000118","Chorley"
"E02005196","Chorley 008",0.65,0.61,0.68,0.22,0.17,0.27,0.8,0.78,0.83,"E07000118","Chorley"
"E02005197","Chorley 009",0.62,0.58,0.65,0.26,0.21,0.3,0.77,0.75,0.8,"E07000118","Chorley"
"E02005198","Chorley 010",0.65,0.61,0.68,0.23,0.18,0.27,0.8,0.78,0.83,"E07000118","Chorley"
"E02005199","Chorley 011",0.66,0.62,0.69,0.2,0.15,0.25,0.83,0.81,0.85,"E07000118","Chorley"
"E02005200","Chorley 012",0.63,0.6,0.66,0.24,0.19,0.28,0.78,0.75,0.8,"E07000118","Chorley"
"E02005201","Chorley 013",0.61,0.57,0.65,0.26,0.21,0.3,0.76,0.73,0.79,"E07000118","Chorley"
"E02005202","Chorley 014",0.67,0.63,0.71,0.2,0.14,0.25,0.83,0.8,0.86,"E07000118","Chorley"
