"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004189","South Hams 001",0.7,0.65,0.75,0.17,0.11,0.22,0.85,0.81,0.88,"E07000044","South Hams"
"E02004190","South Hams 002",0.71,0.67,0.75,0.18,0.12,0.23,0.84,0.81,0.87,"E07000044","South Hams"
"E02004191","South Hams 003",0.68,0.66,0.7,0.19,0.14,0.24,0.83,0.81,0.84,"E07000044","South Hams"
"E02004192","South Hams 004",0.68,0.63,0.73,0.2,0.14,0.25,0.83,0.8,0.86,"E07000044","South Hams"
"E02004193","South Hams 005",0.7,0.67,0.73,0.17,0.12,0.21,0.85,0.83,0.86,"E07000044","South Hams"
"E02004194","South Hams 006",0.7,0.66,0.73,0.17,0.12,0.22,0.84,0.82,0.86,"E07000044","South Hams"
"E02004195","South Hams 007",0.63,0.6,0.65,0.25,0.2,0.29,0.77,0.75,0.79,"E07000044","South Hams"
"E02004196","South Hams 008",0.72,0.68,0.76,0.16,0.11,0.21,0.86,0.84,0.88,"E07000044","South Hams"
"E02004197","South Hams 009",0.71,0.67,0.75,0.17,0.12,0.22,0.87,0.84,0.89,"E07000044","South Hams"
"E02004198","South Hams 010",0.61,0.58,0.63,0.23,0.18,0.27,0.8,0.78,0.82,"E07000044","South Hams"
"E02004199","South Hams 011",0.63,0.59,0.66,0.24,0.18,0.28,0.8,0.78,0.82,"E07000044","South Hams"
"E02004200","South Hams 012",0.65,0.62,0.69,0.2,0.14,0.24,0.84,0.81,0.85,"E07000044","South Hams"
