"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02000464","Havering 001",0.5,0.45,0.54,0.34,0.29,0.39,0.68,0.64,0.71,"E09000016","Havering"
"E02000465","Havering 002",0.54,0.5,0.57,0.31,0.26,0.35,0.68,0.65,0.71,"E09000016","Havering"
"E02000466","Havering 003",0.54,0.49,0.57,0.32,0.27,0.36,0.7,0.67,0.73,"E09000016","Havering"
"E02000467","Havering 004",0.51,0.47,0.55,0.35,0.3,0.39,0.66,0.63,0.7,"E09000016","Havering"
"E02000468","Havering 005",0.54,0.49,0.58,0.31,0.26,0.36,0.72,0.68,0.76,"E09000016","Havering"
"E02000469","Havering 006",0.53,0.48,0.58,0.32,0.27,0.37,0.69,0.65,0.73,"E09000016","Havering"
"E02000470","Havering 007",0.6,0.54,0.64,0.25,0.19,0.3,0.77,0.74,0.81,"E09000016","Havering"
"E02000471","Havering 008",0.58,0.54,0.62,0.26,0.21,0.3,0.78,0.75,0.8,"E09000016","Havering"
"E02000472","Havering 009",0.55,0.51,0.59,0.3,0.25,0.35,0.75,0.71,0.78,"E09000016","Havering"
"E02000473","Havering 010",0.59,0.54,0.63,0.25,0.19,0.29,0.78,0.75,0.81,"E09000016","Havering"
"E02000474","Havering 011",0.56,0.52,0.6,0.29,0.24,0.33,0.75,0.72,0.78,"E09000016","Havering"
"E02000475","Havering 012",0.61,0.57,0.66,0.23,0.17,0.28,0.79,0.75,0.82,"E09000016","Havering"
"E02000476","Havering 013",0.6,0.55,0.64,0.25,0.19,0.3,0.78,0.74,0.81,"E09000016","Havering"
"E02000477","Havering 014",0.61,0.57,0.66,0.22,0.17,0.27,0.82,0.78,0.84,"E09000016","Havering"
"E02000478","Havering 015",0.61,0.56,0.65,0.22,0.17,0.27,0.81,0.78,0.84,"E09000016","Havering"
"E02000479","Havering 016",0.59,0.55,0.62,0.24,0.19,0.29,0.77,0.74,0.79,"E09000016","Havering"
"E02000480","Havering 017",0.55,0.5,0.6,0.29,0.24,0.34,0.74,0.7,0.77,"E09000016","Havering"
"E02000481","Havering 018",0.56,0.51,0.6,0.3,0.25,0.35,0.75,0.72,0.79,"E09000016","Havering"
"E02000482","Havering 019",0.62,0.57,0.66,0.23,0.17,0.27,0.82,0.8,0.85,"E09000016","Havering"
"E02000483","Havering 020",0.59,0.54,0.64,0.27,0.21,0.31,0.79,0.75,0.82,"E09000016","Havering"
"E02000484","Havering 021",0.6,0.55,0.64,0.24,0.19,0.29,0.79,0.75,0.82,"E09000016","Havering"
"E02000485","Havering 022",0.63,0.58,0.67,0.25,0.19,0.29,0.8,0.76,0.82,"E09000016","Havering"
"E02000486","Havering 023",0.59,0.55,0.63,0.27,0.22,0.32,0.78,0.75,0.8,"E09000016","Havering"
"E02000487","Havering 024",0.63,0.58,0.67,0.23,0.18,0.28,0.82,0.79,0.84,"E09000016","Havering"
"E02000488","Havering 025",0.58,0.54,0.63,0.28,0.22,0.32,0.78,0.74,0.81,"E09000016","Havering"
"E02000489","Havering 026",0.53,0.48,0.58,0.32,0.27,0.38,0.72,0.68,0.76,"E09000016","Havering"
"E02000490","Havering 027",0.5,0.47,0.54,0.34,0.3,0.38,0.71,0.68,0.73,"E09000016","Havering"
"E02000491","Havering 028",0.5,0.45,0.54,0.35,0.3,0.4,0.69,0.65,0.72,"E09000016","Havering"
"E02000492","Havering 029",0.5,0.45,0.55,0.33,0.28,0.38,0.72,0.68,0.75,"E09000016","Havering"
"E02000493","Havering 030",0.48,0.44,0.51,0.34,0.3,0.38,0.7,0.67,0.73,"E09000016","Havering"
