"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02006621","Worthing 001",0.63,0.6,0.66,0.22,0.17,0.26,0.83,0.81,0.85,"E07000229","Worthing"
"E02006622","Worthing 002",0.6,0.58,0.63,0.23,0.18,0.27,0.81,0.79,0.83,"E07000229","Worthing"
"E02006623","Worthing 003",0.57,0.54,0.6,0.27,0.22,0.31,0.78,0.76,0.8,"E07000229","Worthing"
"E02006624","Worthing 004",0.66,0.62,0.7,0.18,0.13,0.23,0.85,0.83,0.87,"E07000229","Worthing"
"E02006625","Worthing 005",0.62,0.58,0.66,0.23,0.17,0.27,0.81,0.78,0.83,"E07000229","Worthing"
"E02006626","Worthing 006",0.6,0.55,0.63,0.26,0.21,0.31,0.77,0.73,0.8,"E07000229","Worthing"
"E02006627","Worthing 007",0.61,0.57,0.65,0.26,0.2,0.3,0.79,0.76,0.82,"E07000229","Worthing"
"E02006628","Worthing 008",0.64,0.6,0.67,0.24,0.19,0.28,0.8,0.77,0.82,"E07000229","Worthing"
"E02006629","Worthing 009",0.6,0.56,0.63,0.26,0.21,0.3,0.79,0.76,0.81,"E07000229","Worthing"
"E02006630","Worthing 010",0.62,0.59,0.65,0.27,0.22,0.31,0.8,0.78,0.82,"E07000229","Worthing"
"E02006631","Worthing 011",0.65,0.62,0.68,0.22,0.16,0.26,0.81,0.79,0.84,"E07000229","Worthing"
"E02006632","Worthing 012",0.63,0.6,0.66,0.25,0.2,0.29,0.82,0.8,0.84,"E07000229","Worthing"
"E02006633","Worthing 013",0.61,0.58,0.65,0.27,0.22,0.31,0.82,0.8,0.84,"E07000229","Worthing"
