"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02000619","Lambeth 002",0.66,0.63,0.69,0.23,0.18,0.27,0.81,0.78,0.83,"E09000022","Lambeth"
"E02000620","Lambeth 003",0.68,0.65,0.71,0.2,0.15,0.24,0.83,0.81,0.85,"E09000022","Lambeth"
"E02000621","Lambeth 004",0.72,0.69,0.75,0.18,0.13,0.23,0.85,0.82,0.86,"E09000022","Lambeth"
"E02000622","Lambeth 005",0.72,0.68,0.75,0.18,0.12,0.23,0.85,0.82,0.87,"E09000022","Lambeth"
"E02000623","Lambeth 006",0.63,0.6,0.66,0.27,0.22,0.31,0.76,0.74,0.79,"E09000022","Lambeth"
"E02000624","Lambeth 007",0.67,0.64,0.7,0.21,0.16,0.26,0.81,0.78,0.83,"E09000022","Lambeth"
"E02000625","Lambeth 008",0.62,0.58,0.65,0.26,0.21,0.31,0.77,0.75,0.8,"E09000022","Lambeth"
"E02000626","Lambeth 009",0.62,0.58,0.65,0.26,0.21,0.3,0.76,0.73,0.79,"E09000022","Lambeth"
"E02000627","Lambeth 010",0.7,0.67,0.73,0.2,0.14,0.24,0.83,0.81,0.85,"E09000022","Lambeth"
"E02000628","Lambeth 011",0.63,0.59,0.66,0.25,0.21,0.3,0.77,0.74,0.79,"E09000022","Lambeth"
"E02000629","Lambeth 012",0.74,0.71,0.77,0.15,0.1,0.2,0.87,0.85,0.88,"E09000022","Lambeth"
"E02000630","Lambeth 013",0.76,0.73,0.78,0.15,0.09,0.19,0.88,0.86,0.89,"E09000022","Lambeth"
"E02000631","Lambeth 014",0.73,0.7,0.76,0.14,0.08,0.19,0.88,0.86,0.89,"E09000022","Lambeth"
"E02000632","Lambeth 015",0.78,0.75,0.81,0.14,0.08,0.19,0.88,0.86,0.9,"E09000022","Lambeth"
"E02000633","Lambeth 016",0.71,0.68,0.73,0.18,0.13,0.23,0.84,0.82,0.85,"E09000022","Lambeth"
"E02000634","Lambeth 017",0.69,0.66,0.72,0.2,0.15,0.25,0.84,0.81,0.86,"E09000022","Lambeth"
"E02000635","Lambeth 018",0.74,0.7,0.77,0.16,0.1,0.2,0.86,0.84,0.88,"E09000022","Lambeth"
"E02000636","Lambeth 019",0.77,0.73,0.79,0.13,0.08,0.18,0.89,0.87,0.91,"E09000022","Lambeth"
"E02000637","Lambeth 020",0.77,0.74,0.79,0.14,0.08,0.18,0.88,0.86,0.89,"E09000022","Lambeth"
"E02000638","Lambeth 021",0.7,0.67,0.73,0.2,0.15,0.24,0.83,0.81,0.85,"E09000022","Lambeth"
"E02000639","Lambeth 022",0.63,0.59,0.67,0.25,0.2,0.3,0.78,0.75,0.81,"E09000022","Lambeth"
"E02000640","Lambeth 023",0.73,0.7,0.76,0.17,0.12,0.22,0.86,0.84,0.87,"E09000022","Lambeth"
"E02000641","Lambeth 024",0.62,0.58,0.66,0.27,0.22,0.32,0.75,0.72,0.79,"E09000022","Lambeth"
"E02000642","Lambeth 025",0.71,0.68,0.75,0.17,0.12,0.22,0.85,0.83,0.87,"E09000022","Lambeth"
"E02000643","Lambeth 026",0.71,0.67,0.74,0.19,0.13,0.24,0.84,0.82,0.86,"E09000022","Lambeth"
"E02000644","Lambeth 027",0.71,0.67,0.74,0.18,0.12,0.22,0.84,0.82,0.86,"E09000022","Lambeth"
"E02000645","Lambeth 028",0.71,0.68,0.74,0.17,0.11,0.22,0.84,0.82,0.86,"E09000022","Lambeth"
"E02000646","Lambeth 029",0.7,0.67,0.73,0.18,0.13,0.23,0.84,0.82,0.86,"E09000022","Lambeth"
"E02000647","Lambeth 030",0.69,0.66,0.72,0.19,0.14,0.24,0.83,0.81,0.85,"E09000022","Lambeth"
"E02000648","Lambeth 031",0.6,0.56,0.63,0.27,0.22,0.32,0.74,0.72,0.77,"E09000022","Lambeth"
"E02000649","Lambeth 032",0.7,0.66,0.74,0.19,0.13,0.24,0.84,0.81,0.86,"E09000022","Lambeth"
"E02000650","Lambeth 033",0.68,0.65,0.72,0.2,0.14,0.24,0.82,0.79,0.84,"E09000022","Lambeth"
"E02000651","Lambeth 034",0.66,0.62,0.7,0.2,0.14,0.25,0.83,0.8,0.85,"E09000022","Lambeth"
"E02000652","Lambeth 035",0.57,0.54,0.61,0.26,0.21,0.3,0.77,0.74,0.8,"E09000022","Lambeth"
"E02006801","Lambeth 036",0.73,0.7,0.75,0.19,0.13,0.23,0.84,0.82,0.85,"E09000022","Lambeth"
