"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02002043","Sandwell 001",0.56,0.52,0.61,0.29,0.24,0.34,0.74,0.7,0.78,"E08000028","Sandwell"
"E02002044","Sandwell 002",0.49,0.45,0.53,0.36,0.31,0.4,0.67,0.63,0.7,"E08000028","Sandwell"
"E02002045","Sandwell 003",0.51,0.46,0.55,0.35,0.29,0.39,0.7,0.66,0.74,"E08000028","Sandwell"
"E02002046","Sandwell 004",0.45,0.41,0.49,0.42,0.38,0.46,0.61,0.57,0.64,"E08000028","Sandwell"
"E02002047","Sandwell 005",0.5,0.45,0.55,0.35,0.3,0.4,0.69,0.65,0.73,"E08000028","Sandwell"
"E02002048","Sandwell 006",0.57,0.52,0.61,0.28,0.23,0.32,0.75,0.72,0.78,"E08000028","Sandwell"
"E02002049","Sandwell 007",0.51,0.47,0.55,0.36,0.31,0.4,0.65,0.62,0.69,"E08000028","Sandwell"
"E02002051","Sandwell 009",0.48,0.44,0.52,0.4,0.35,0.44,0.64,0.6,0.67,"E08000028","Sandwell"
"E02002052","Sandwell 010",0.48,0.45,0.52,0.38,0.34,0.42,0.65,0.62,0.68,"E08000028","Sandwell"
"E02002053","Sandwell 011",0.55,0.51,0.58,0.3,0.25,0.34,0.72,0.69,0.76,"E08000028","Sandwell"
"E02002054","Sandwell 012",0.56,0.52,0.59,0.29,0.24,0.33,0.74,0.71,0.77,"E08000028","Sandwell"
"E02002055","Sandwell 013",0.48,0.44,0.52,0.37,0.33,0.42,0.65,0.61,0.69,"E08000028","Sandwell"
"E02002056","Sandwell 014",0.49,0.45,0.53,0.41,0.36,0.45,0.62,0.59,0.66,"E08000028","Sandwell"
"E02002057","Sandwell 015",0.5,0.46,0.53,0.37,0.32,0.41,0.66,0.63,0.69,"E08000028","Sandwell"
"E02002058","Sandwell 016",0.49,0.45,0.53,0.37,0.32,0.41,0.67,0.63,0.7,"E08000028","Sandwell"
"E02002059","Sandwell 017",0.5,0.46,0.55,0.36,0.31,0.4,0.68,0.64,0.71,"E08000028","Sandwell"
"E02002060","Sandwell 018",0.47,0.44,0.51,0.4,0.36,0.44,0.62,0.58,0.66,"E08000028","Sandwell"
"E02002061","Sandwell 019",0.48,0.44,0.52,0.37,0.32,0.41,0.64,0.6,0.68,"E08000028","Sandwell"
"E02002062","Sandwell 020",0.45,0.41,0.49,0.4,0.36,0.44,0.63,0.59,0.67,"E08000028","Sandwell"
"E02002063","Sandwell 021",0.51,0.47,0.56,0.34,0.29,0.39,0.68,0.64,0.72,"E08000028","Sandwell"
"E02002064","Sandwell 022",0.49,0.45,0.53,0.37,0.33,0.41,0.67,0.64,0.7,"E08000028","Sandwell"
"E02002065","Sandwell 023",0.46,0.41,0.5,0.37,0.32,0.42,0.64,0.59,0.68,"E08000028","Sandwell"
"E02002066","Sandwell 024",0.49,0.45,0.53,0.35,0.31,0.39,0.67,0.63,0.7,"E08000028","Sandwell"
"E02002067","Sandwell 025",0.52,0.48,0.56,0.32,0.28,0.37,0.73,0.69,0.76,"E08000028","Sandwell"
"E02002068","Sandwell 026",0.47,0.43,0.52,0.35,0.3,0.4,0.65,0.6,0.69,"E08000028","Sandwell"
"E02002069","Sandwell 027",0.49,0.45,0.53,0.37,0.33,0.41,0.68,0.65,0.71,"E08000028","Sandwell"
"E02002070","Sandwell 028",0.46,0.42,0.5,0.35,0.31,0.39,0.66,0.63,0.69,"E08000028","Sandwell"
"E02002071","Sandwell 029",0.5,0.46,0.53,0.35,0.31,0.39,0.69,0.66,0.72,"E08000028","Sandwell"
"E02002072","Sandwell 030",0.55,0.51,0.58,0.3,0.25,0.34,0.72,0.69,0.75,"E08000028","Sandwell"
"E02002073","Sandwell 031",0.51,0.47,0.55,0.32,0.28,0.37,0.69,0.65,0.73,"E08000028","Sandwell"
"E02002074","Sandwell 032",0.53,0.49,0.57,0.33,0.28,0.37,0.71,0.68,0.74,"E08000028","Sandwell"
"E02002075","Sandwell 033",0.54,0.5,0.58,0.3,0.25,0.35,0.73,0.69,0.76,"E08000028","Sandwell"
"E02002076","Sandwell 034",0.63,0.59,0.67,0.21,0.16,0.25,0.81,0.78,0.84,"E08000028","Sandwell"
"E02002077","Sandwell 035",0.55,0.51,0.59,0.3,0.26,0.35,0.73,0.69,0.76,"E08000028","Sandwell"
"E02002078","Sandwell 036",0.58,0.54,0.62,0.27,0.22,0.31,0.76,0.72,0.79,"E08000028","Sandwell"
"E02002079","Sandwell 037",0.53,0.49,0.57,0.31,0.27,0.36,0.72,0.68,0.75,"E08000028","Sandwell"
"E02002080","Sandwell 038",0.54,0.5,0.58,0.32,0.27,0.36,0.72,0.68,0.75,"E08000028","Sandwell"
"E02006810","Sandwell 039",0.52,0.47,0.58,0.32,0.26,0.37,0.72,0.67,0.76,"E08000028","Sandwell"
