"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005162","Tunbridge Wells 001",0.61,0.58,0.64,0.24,0.19,0.28,0.79,0.77,0.81,"E07000116","Tunbridge Wells"
"E02005163","Tunbridge Wells 002",0.7,0.67,0.72,0.17,0.12,0.21,0.85,0.83,0.86,"E07000116","Tunbridge Wells"
"E02005164","Tunbridge Wells 003",0.63,0.61,0.66,0.22,0.18,0.26,0.8,0.78,0.82,"E07000116","Tunbridge Wells"
"E02005165","Tunbridge Wells 004",0.63,0.61,0.66,0.2,0.15,0.24,0.81,0.8,0.83,"E07000116","Tunbridge Wells"
"E02005166","Tunbridge Wells 005",0.58,0.56,0.6,0.25,0.21,0.29,0.75,0.74,0.77,"E07000116","Tunbridge Wells"
"E02005167","Tunbridge Wells 006",0.69,0.65,0.73,0.16,0.11,0.21,0.86,0.83,0.88,"E07000116","Tunbridge Wells"
"E02005168","Tunbridge Wells 007",0.74,0.71,0.77,0.13,0.07,0.18,0.89,0.87,0.9,"E07000116","Tunbridge Wells"
"E02005169","Tunbridge Wells 008",0.76,0.72,0.79,0.13,0.08,0.18,0.87,0.85,0.89,"E07000116","Tunbridge Wells"
"E02005170","Tunbridge Wells 009",0.7,0.66,0.74,0.17,0.12,0.22,0.85,0.83,0.87,"E07000116","Tunbridge Wells"
"E02005171","Tunbridge Wells 010",0.65,0.61,0.69,0.22,0.16,0.26,0.8,0.76,0.82,"E07000116","Tunbridge Wells"
"E02005172","Tunbridge Wells 011",0.66,0.62,0.71,0.19,0.13,0.24,0.83,0.8,0.85,"E07000116","Tunbridge Wells"
"E02005173","Tunbridge Wells 012",0.75,0.71,0.77,0.13,0.07,0.18,0.88,0.86,0.9,"E07000116","Tunbridge Wells"
"E02005174","Tunbridge Wells 013",0.64,0.61,0.68,0.21,0.16,0.26,0.81,0.79,0.83,"E07000116","Tunbridge Wells"
"E02005175","Tunbridge Wells 014",0.65,0.61,0.69,0.21,0.16,0.26,0.82,0.79,0.84,"E07000116","Tunbridge Wells"
