"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02003212","Swindon 001",0.61,0.59,0.63,0.26,0.21,0.3,0.81,0.79,0.82,"E06000030","Swindon"
"E02003214","Swindon 003",0.51,0.47,0.54,0.36,0.32,0.4,0.67,0.64,0.7,"E06000030","Swindon"
"E02003215","Swindon 004",0.62,0.59,0.65,0.24,0.19,0.28,0.8,0.78,0.82,"E06000030","Swindon"
"E02003216","Swindon 005",0.58,0.55,0.6,0.29,0.25,0.33,0.75,0.73,0.77,"E06000030","Swindon"
"E02003217","Swindon 006",0.55,0.52,0.58,0.3,0.26,0.34,0.73,0.7,0.75,"E06000030","Swindon"
"E02003218","Swindon 007",0.53,0.49,0.56,0.32,0.28,0.36,0.69,0.66,0.72,"E06000030","Swindon"
"E02003219","Swindon 008",0.68,0.65,0.72,0.19,0.13,0.24,0.85,0.83,0.87,"E06000030","Swindon"
"E02003220","Swindon 009",0.59,0.56,0.62,0.26,0.22,0.3,0.79,0.77,0.81,"E06000030","Swindon"
"E02003221","Swindon 010",0.57,0.54,0.6,0.29,0.25,0.33,0.73,0.7,0.75,"E06000030","Swindon"
"E02003222","Swindon 011",0.66,0.63,0.68,0.18,0.13,0.23,0.83,0.81,0.84,"E06000030","Swindon"
"E02003223","Swindon 012",0.61,0.57,0.64,0.24,0.19,0.28,0.78,0.76,0.81,"E06000030","Swindon"
"E02003224","Swindon 013",0.59,0.55,0.64,0.26,0.21,0.31,0.79,0.75,0.82,"E06000030","Swindon"
"E02003225","Swindon 014",0.63,0.58,0.67,0.21,0.15,0.26,0.81,0.78,0.84,"E06000030","Swindon"
"E02003226","Swindon 015",0.56,0.51,0.61,0.28,0.23,0.33,0.73,0.68,0.77,"E06000030","Swindon"
"E02003227","Swindon 016",0.54,0.49,0.59,0.34,0.29,0.39,0.69,0.64,0.73,"E06000030","Swindon"
"E02003228","Swindon 017",0.62,0.57,0.67,0.24,0.18,0.29,0.79,0.74,0.82,"E06000030","Swindon"
"E02003229","Swindon 018",0.65,0.6,0.69,0.2,0.15,0.25,0.82,0.79,0.85,"E06000030","Swindon"
"E02003230","Swindon 019",0.68,0.63,0.72,0.18,0.13,0.23,0.82,0.78,0.84,"E06000030","Swindon"
"E02003231","Swindon 020",0.53,0.49,0.58,0.32,0.27,0.37,0.7,0.65,0.73,"E06000030","Swindon"
"E02003232","Swindon 021",0.7,0.65,0.74,0.16,0.1,0.21,0.86,0.83,0.89,"E06000030","Swindon"
"E02003233","Swindon 022",0.56,0.51,0.6,0.28,0.23,0.32,0.75,0.71,0.78,"E06000030","Swindon"
"E02003234","Swindon 023",0.58,0.53,0.63,0.27,0.22,0.32,0.76,0.72,0.8,"E06000030","Swindon"
"E02003235","Swindon 024",0.68,0.64,0.73,0.18,0.12,0.23,0.85,0.82,0.88,"E06000030","Swindon"
"E02003236","Swindon 025",0.64,0.58,0.69,0.22,0.17,0.28,0.82,0.78,0.86,"E06000030","Swindon"
"E02006847","Swindon 026",0.69,0.65,0.72,0.17,0.12,0.22,0.83,0.8,0.85,"E06000030","Swindon"
"E02006848","Swindon 027",0.67,0.64,0.7,0.19,0.13,0.23,0.83,0.81,0.85,"E06000030","Swindon"
"E02006849","Swindon 028",0.68,0.65,0.71,0.18,0.13,0.23,0.83,0.8,0.85,"E06000030","Swindon"
