"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004129","East Devon 001",0.62,0.58,0.67,0.22,0.16,0.27,0.81,0.77,0.84,"E07000040","East Devon"
"E02004130","East Devon 002",0.58,0.55,0.62,0.26,0.21,0.3,0.78,0.76,0.81,"E07000040","East Devon"
"E02004131","East Devon 003",0.6,0.57,0.63,0.23,0.18,0.27,0.8,0.78,0.82,"E07000040","East Devon"
"E02004132","East Devon 004",0.67,0.63,0.71,0.2,0.14,0.25,0.83,0.8,0.86,"E07000040","East Devon"
"E02004133","East Devon 005",0.64,0.61,0.68,0.21,0.16,0.26,0.82,0.8,0.84,"E07000040","East Devon"
"E02004134","East Devon 006",0.65,0.61,0.7,0.2,0.15,0.25,0.83,0.8,0.86,"E07000040","East Devon"
"E02004135","East Devon 007",0.67,0.64,0.7,0.18,0.13,0.23,0.86,0.83,0.87,"E07000040","East Devon"
"E02004136","East Devon 008",0.67,0.64,0.71,0.19,0.14,0.24,0.85,0.82,0.87,"E07000040","East Devon"
"E02004137","East Devon 009",0.68,0.64,0.72,0.19,0.13,0.24,0.85,0.82,0.87,"E07000040","East Devon"
"E02004138","East Devon 010",0.64,0.61,0.66,0.21,0.17,0.26,0.83,0.82,0.85,"E07000040","East Devon"
"E02004139","East Devon 011",0.63,0.6,0.66,0.24,0.2,0.29,0.81,0.78,0.83,"E07000040","East Devon"
"E02004140","East Devon 012",0.66,0.63,0.69,0.21,0.16,0.25,0.85,0.83,0.86,"E07000040","East Devon"
"E02004141","East Devon 013",0.68,0.65,0.71,0.19,0.13,0.23,0.84,0.82,0.86,"E07000040","East Devon"
"E02004142","East Devon 014",0.7,0.66,0.74,0.18,0.12,0.22,0.86,0.84,0.88,"E07000040","East Devon"
"E02004143","East Devon 015",0.64,0.6,0.67,0.23,0.18,0.27,0.81,0.79,0.83,"E07000040","East Devon"
"E02004144","East Devon 016",0.65,0.61,0.68,0.22,0.17,0.26,0.82,0.8,0.84,"E07000040","East Devon"
"E02004145","East Devon 017",0.66,0.63,0.69,0.22,0.17,0.26,0.85,0.83,0.87,"E07000040","East Devon"
"E02004146","East Devon 018",0.63,0.6,0.66,0.25,0.2,0.29,0.79,0.76,0.81,"E07000040","East Devon"
"E02004147","East Devon 019",0.69,0.67,0.71,0.21,0.16,0.25,0.82,0.81,0.84,"E07000040","East Devon"
"E02004148","East Devon 020",0.61,0.58,0.64,0.27,0.23,0.31,0.8,0.78,0.82,"E07000040","East Devon"
