"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005639","Kettering 001",0.66,0.62,0.7,0.18,0.13,0.23,0.85,0.82,0.88,"E07000153","Kettering"
"E02005640","Kettering 002",0.61,0.59,0.64,0.23,0.18,0.27,0.8,0.79,0.82,"E07000153","Kettering"
"E02005641","Kettering 003",0.59,0.56,0.62,0.25,0.2,0.29,0.77,0.75,0.79,"E07000153","Kettering"
"E02005642","Kettering 004",0.63,0.6,0.66,0.22,0.17,0.26,0.82,0.8,0.84,"E07000153","Kettering"
"E02005643","Kettering 005",0.55,0.52,0.58,0.31,0.27,0.34,0.73,0.7,0.75,"E07000153","Kettering"
"E02005644","Kettering 006",0.61,0.56,0.65,0.26,0.21,0.31,0.75,0.71,0.78,"E07000153","Kettering"
"E02005645","Kettering 007",0.61,0.57,0.65,0.26,0.21,0.31,0.79,0.75,0.82,"E07000153","Kettering"
"E02005646","Kettering 008",0.59,0.55,0.63,0.24,0.19,0.29,0.8,0.77,0.83,"E07000153","Kettering"
"E02005647","Kettering 009",0.58,0.53,0.63,0.28,0.23,0.33,0.76,0.72,0.8,"E07000153","Kettering"
"E02005648","Kettering 010",0.61,0.57,0.65,0.22,0.17,0.27,0.83,0.81,0.86,"E07000153","Kettering"
"E02005649","Kettering 011",0.6,0.54,0.66,0.24,0.17,0.29,0.79,0.74,0.83,"E07000153","Kettering"
