"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02006008","Shropshire 025",0.68,0.62,0.73,0.2,0.14,0.26,0.82,0.78,0.86,"E06000051","Shropshire"
"E02006009","Shropshire 027",0.67,0.62,0.71,0.21,0.15,0.26,0.82,0.79,0.85,"E06000051","Shropshire"
"E02006010","Shropshire 029",0.66,0.6,0.71,0.21,0.15,0.27,0.82,0.77,0.85,"E06000051","Shropshire"
"E02006011","Shropshire 031",0.66,0.62,0.69,0.22,0.16,0.26,0.81,0.78,0.83,"E06000051","Shropshire"
"E02006012","Shropshire 033",0.68,0.63,0.72,0.21,0.15,0.26,0.81,0.78,0.84,"E06000051","Shropshire"
"E02006013","Shropshire 034",0.66,0.6,0.73,0.22,0.15,0.28,0.81,0.76,0.85,"E06000051","Shropshire"
"E02006014","Shropshire 035",0.62,0.56,0.68,0.24,0.18,0.3,0.78,0.74,0.82,"E06000051","Shropshire"
"E02006015","Shropshire 001",0.57,0.53,0.61,0.3,0.25,0.35,0.74,0.7,0.77,"E06000051","Shropshire"
"E02006016","Shropshire 002",0.63,0.57,0.68,0.25,0.19,0.31,0.78,0.74,0.82,"E06000051","Shropshire"
"E02006017","Shropshire 004",0.6,0.57,0.62,0.27,0.23,0.32,0.77,0.75,0.78,"E06000051","Shropshire"
"E02006018","Shropshire 005",0.58,0.55,0.6,0.3,0.25,0.34,0.74,0.72,0.76,"E06000051","Shropshire"
"E02006019","Shropshire 008",0.61,0.59,0.63,0.25,0.2,0.29,0.79,0.77,0.8,"E06000051","Shropshire"
"E02006020","Shropshire 009",0.64,0.61,0.67,0.23,0.18,0.27,0.79,0.76,0.81,"E06000051","Shropshire"
"E02006021","Shropshire 010",0.67,0.64,0.7,0.21,0.16,0.25,0.81,0.79,0.83,"E06000051","Shropshire"
"E02006022","Shropshire 013",0.67,0.64,0.7,0.21,0.16,0.25,0.82,0.8,0.84,"E06000051","Shropshire"
"E02006023","Shropshire 003",0.58,0.55,0.61,0.28,0.23,0.32,0.76,0.74,0.78,"E06000051","Shropshire"
"E02006024","Shropshire 006",0.55,0.52,0.58,0.33,0.29,0.37,0.71,0.69,0.73,"E06000051","Shropshire"
"E02006025","Shropshire 007",0.62,0.6,0.64,0.27,0.23,0.31,0.78,0.76,0.8,"E06000051","Shropshire"
"E02006026","Shropshire 011",0.62,0.59,0.65,0.24,0.19,0.29,0.79,0.76,0.81,"E06000051","Shropshire"
"E02006027","Shropshire 012",0.6,0.58,0.63,0.26,0.21,0.3,0.78,0.76,0.8,"E06000051","Shropshire"
"E02006028","Shropshire 014",0.65,0.61,0.69,0.22,0.16,0.27,0.81,0.79,0.84,"E06000051","Shropshire"
"E02006029","Shropshire 015",0.59,0.55,0.62,0.3,0.26,0.34,0.73,0.7,0.75,"E06000051","Shropshire"
"E02006030","Shropshire 016",0.62,0.59,0.65,0.25,0.2,0.29,0.77,0.75,0.79,"E06000051","Shropshire"
"E02006031","Shropshire 017",0.67,0.64,0.7,0.21,0.16,0.26,0.82,0.79,0.83,"E06000051","Shropshire"
"E02006032","Shropshire 018",0.62,0.59,0.66,0.25,0.2,0.29,0.78,0.75,0.8,"E06000051","Shropshire"
"E02006033","Shropshire 019",0.73,0.7,0.76,0.17,0.12,0.22,0.87,0.85,0.89,"E06000051","Shropshire"
"E02006034","Shropshire 020",0.69,0.67,0.72,0.2,0.15,0.24,0.85,0.83,0.87,"E06000051","Shropshire"
"E02006035","Shropshire 021",0.69,0.66,0.71,0.19,0.14,0.24,0.85,0.83,0.86,"E06000051","Shropshire"
"E02006036","Shropshire 022",0.7,0.67,0.72,0.19,0.13,0.23,0.85,0.84,0.87,"E06000051","Shropshire"
"E02006037","Shropshire 023",0.7,0.67,0.72,0.19,0.14,0.24,0.84,0.82,0.86,"E06000051","Shropshire"
"E02006038","Shropshire 024",0.67,0.62,0.7,0.22,0.17,0.27,0.82,0.79,0.85,"E06000051","Shropshire"
"E02006039","Shropshire 026",0.66,0.63,0.69,0.21,0.16,0.26,0.81,0.79,0.83,"E06000051","Shropshire"
"E02006040","Shropshire 028",0.69,0.66,0.72,0.18,0.13,0.22,0.84,0.81,0.85,"E06000051","Shropshire"
"E02006041","Shropshire 030",0.68,0.64,0.71,0.2,0.15,0.25,0.81,0.79,0.84,"E06000051","Shropshire"
"E02006042","Shropshire 032",0.7,0.67,0.73,0.18,0.13,0.23,0.85,0.83,0.87,"E06000051","Shropshire"
"E02006043","Shropshire 036",0.65,0.62,0.69,0.21,0.15,0.25,0.81,0.79,0.84,"E06000051","Shropshire"
"E02006044","Shropshire 037",0.69,0.65,0.71,0.2,0.14,0.24,0.83,0.81,0.85,"E06000051","Shropshire"
"E02006045","Shropshire 038",0.63,0.6,0.66,0.23,0.18,0.27,0.82,0.79,0.83,"E06000051","Shropshire"
"E02006046","Shropshire 039",0.65,0.62,0.69,0.23,0.18,0.27,0.81,0.78,0.83,"E06000051","Shropshire"
