"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02006561","Chichester 001",0.7,0.66,0.74,0.16,0.1,0.21,0.86,0.83,0.88,"E07000225","Chichester"
"E02006562","Chichester 002",0.7,0.66,0.73,0.17,0.11,0.22,0.85,0.83,0.87,"E07000225","Chichester"
"E02006563","Chichester 003",0.71,0.66,0.74,0.16,0.1,0.21,0.87,0.84,0.89,"E07000225","Chichester"
"E02006564","Chichester 004",0.65,0.62,0.68,0.21,0.16,0.25,0.83,0.81,0.85,"E07000225","Chichester"
"E02006565","Chichester 005",0.69,0.65,0.72,0.2,0.14,0.24,0.84,0.82,0.86,"E07000225","Chichester"
"E02006566","Chichester 006",0.68,0.64,0.72,0.19,0.13,0.24,0.86,0.83,0.88,"E07000225","Chichester"
"E02006567","Chichester 007",0.67,0.64,0.71,0.19,0.13,0.23,0.85,0.83,0.87,"E07000225","Chichester"
"E02006568","Chichester 008",0.65,0.62,0.67,0.24,0.19,0.28,0.81,0.79,0.83,"E07000225","Chichester"
"E02006569","Chichester 009",0.66,0.63,0.69,0.19,0.14,0.23,0.86,0.84,0.87,"E07000225","Chichester"
"E02006570","Chichester 010",0.65,0.63,0.68,0.22,0.17,0.26,0.84,0.82,0.85,"E07000225","Chichester"
"E02006571","Chichester 011",0.68,0.64,0.71,0.18,0.13,0.23,0.86,0.84,0.88,"E07000225","Chichester"
"E02006572","Chichester 012",0.64,0.61,0.68,0.23,0.18,0.28,0.81,0.79,0.84,"E07000225","Chichester"
"E02006573","Chichester 013",0.6,0.57,0.62,0.25,0.2,0.29,0.82,0.8,0.84,"E07000225","Chichester"
"E02006574","Chichester 014",0.56,0.53,0.58,0.27,0.23,0.31,0.78,0.76,0.8,"E07000225","Chichester"
