"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004446","Braintree 001",0.6,0.55,0.64,0.24,0.19,0.29,0.79,0.76,0.82,"E07000067","Braintree"
"E02004447","Braintree 002",0.63,0.59,0.67,0.2,0.14,0.25,0.84,0.81,0.86,"E07000067","Braintree"
"E02004448","Braintree 003",0.59,0.55,0.62,0.25,0.2,0.3,0.79,0.76,0.82,"E07000067","Braintree"
"E02004449","Braintree 004",0.55,0.53,0.58,0.29,0.24,0.33,0.76,0.74,0.78,"E07000067","Braintree"
"E02004450","Braintree 005",0.63,0.59,0.67,0.19,0.14,0.24,0.84,0.81,0.86,"E07000067","Braintree"
"E02004451","Braintree 006",0.59,0.56,0.62,0.25,0.2,0.29,0.81,0.79,0.83,"E07000067","Braintree"
"E02004452","Braintree 007",0.57,0.53,0.6,0.26,0.21,0.3,0.79,0.77,0.82,"E07000067","Braintree"
"E02004453","Braintree 008",0.56,0.53,0.59,0.27,0.23,0.32,0.76,0.74,0.79,"E07000067","Braintree"
"E02004454","Braintree 009",0.57,0.54,0.61,0.27,0.22,0.31,0.77,0.74,0.79,"E07000067","Braintree"
"E02004455","Braintree 010",0.61,0.57,0.64,0.22,0.17,0.26,0.82,0.79,0.84,"E07000067","Braintree"
"E02004456","Braintree 011",0.54,0.5,0.57,0.29,0.24,0.34,0.73,0.7,0.76,"E07000067","Braintree"
"E02004457","Braintree 012",0.57,0.52,0.61,0.26,0.2,0.31,0.78,0.74,0.81,"E07000067","Braintree"
"E02004458","Braintree 013",0.61,0.57,0.65,0.23,0.18,0.28,0.8,0.77,0.83,"E07000067","Braintree"
"E02004459","Braintree 014",0.63,0.58,0.67,0.22,0.16,0.27,0.83,0.8,0.86,"E07000067","Braintree"
"E02004460","Braintree 015",0.59,0.55,0.63,0.26,0.21,0.31,0.77,0.74,0.8,"E07000067","Braintree"
"E02004461","Braintree 016",0.54,0.51,0.58,0.28,0.24,0.33,0.73,0.7,0.75,"E07000067","Braintree"
"E02004462","Braintree 017",0.58,0.55,0.62,0.25,0.2,0.3,0.78,0.75,0.8,"E07000067","Braintree"
"E02004463","Braintree 018",0.59,0.55,0.64,0.26,0.2,0.31,0.78,0.75,0.81,"E07000067","Braintree"
