"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02003696","Wycombe 001",0.68,0.65,0.7,0.21,0.17,0.26,0.86,0.84,0.87,"E07000007","Wycombe"
"E02003697","Wycombe 002",0.71,0.67,0.74,0.16,0.11,0.21,0.88,0.86,0.89,"E07000007","Wycombe"
"E02003698","Wycombe 003",0.7,0.67,0.73,0.16,0.1,0.2,0.88,0.86,0.89,"E07000007","Wycombe"
"E02003699","Wycombe 004",0.67,0.65,0.7,0.19,0.14,0.23,0.85,0.83,0.87,"E07000007","Wycombe"
"E02003701","Wycombe 006",0.66,0.62,0.69,0.19,0.14,0.23,0.83,0.81,0.85,"E07000007","Wycombe"
"E02003702","Wycombe 007",0.73,0.69,0.77,0.14,0.09,0.19,0.89,0.87,0.91,"E07000007","Wycombe"
"E02003703","Wycombe 008",0.68,0.65,0.71,0.17,0.11,0.21,0.85,0.82,0.87,"E07000007","Wycombe"
"E02003704","Wycombe 009",0.68,0.64,0.71,0.16,0.11,0.21,0.86,0.84,0.88,"E07000007","Wycombe"
"E02003705","Wycombe 010",0.64,0.6,0.67,0.22,0.16,0.26,0.79,0.76,0.81,"E07000007","Wycombe"
"E02003706","Wycombe 011",0.62,0.57,0.65,0.23,0.18,0.28,0.78,0.75,0.81,"E07000007","Wycombe"
"E02003707","Wycombe 012",0.65,0.61,0.68,0.21,0.15,0.25,0.81,0.78,0.83,"E07000007","Wycombe"
"E02003708","Wycombe 013",0.56,0.52,0.61,0.28,0.23,0.33,0.72,0.68,0.75,"E07000007","Wycombe"
"E02003709","Wycombe 014",0.59,0.55,0.63,0.26,0.21,0.3,0.74,0.71,0.77,"E07000007","Wycombe"
"E02003710","Wycombe 015",0.69,0.64,0.73,0.19,0.13,0.24,0.83,0.8,0.86,"E07000007","Wycombe"
"E02003711","Wycombe 016",0.67,0.62,0.71,0.2,0.14,0.25,0.82,0.78,0.85,"E07000007","Wycombe"
"E02003712","Wycombe 017",0.63,0.59,0.66,0.24,0.19,0.29,0.8,0.77,0.83,"E07000007","Wycombe"
"E02003713","Wycombe 018",0.66,0.63,0.7,0.2,0.15,0.25,0.84,0.81,0.86,"E07000007","Wycombe"
"E02003714","Wycombe 019",0.66,0.61,0.7,0.19,0.13,0.24,0.83,0.8,0.86,"E07000007","Wycombe"
"E02003715","Wycombe 020",0.71,0.66,0.76,0.16,0.1,0.21,0.87,0.85,0.9,"E07000007","Wycombe"
"E02003716","Wycombe 021",0.68,0.64,0.71,0.19,0.14,0.24,0.86,0.84,0.88,"E07000007","Wycombe"
"E02003717","Wycombe 022",0.71,0.68,0.74,0.17,0.12,0.22,0.87,0.85,0.88,"E07000007","Wycombe"
"E02003718","Wycombe 023",0.73,0.7,0.76,0.16,0.11,0.21,0.86,0.84,0.88,"E07000007","Wycombe"
"E02006824","Wycombe 024",0.65,0.62,0.68,0.18,0.13,0.22,0.84,0.83,0.86,"E07000007","Wycombe"
