"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005597","South Norfolk 001",0.61,0.57,0.66,0.24,0.18,0.29,0.8,0.77,0.83,"E07000149","South Norfolk"
"E02005598","South Norfolk 002",0.68,0.62,0.73,0.19,0.13,0.25,0.84,0.8,0.87,"E07000149","South Norfolk"
"E02005599","South Norfolk 003",0.63,0.6,0.66,0.23,0.18,0.27,0.8,0.78,0.82,"E07000149","South Norfolk"
"E02005600","South Norfolk 004",0.66,0.62,0.7,0.2,0.15,0.25,0.83,0.8,0.85,"E07000149","South Norfolk"
"E02005601","South Norfolk 005",0.61,0.58,0.63,0.25,0.2,0.29,0.8,0.78,0.82,"E07000149","South Norfolk"
"E02005602","South Norfolk 006",0.64,0.6,0.67,0.22,0.17,0.27,0.82,0.79,0.84,"E07000149","South Norfolk"
"E02005603","South Norfolk 007",0.64,0.6,0.67,0.21,0.16,0.26,0.81,0.79,0.83,"E07000149","South Norfolk"
"E02005604","South Norfolk 008",0.62,0.59,0.65,0.23,0.19,0.28,0.8,0.78,0.82,"E07000149","South Norfolk"
"E02005605","South Norfolk 009",0.65,0.61,0.68,0.21,0.16,0.26,0.81,0.79,0.83,"E07000149","South Norfolk"
"E02005606","South Norfolk 010",0.61,0.58,0.64,0.23,0.19,0.28,0.79,0.77,0.81,"E07000149","South Norfolk"
"E02005607","South Norfolk 011",0.62,0.58,0.65,0.24,0.19,0.28,0.79,0.77,0.82,"E07000149","South Norfolk"
"E02005608","South Norfolk 012",0.61,0.57,0.65,0.25,0.2,0.3,0.79,0.76,0.81,"E07000149","South Norfolk"
"E02005609","South Norfolk 013",0.59,0.56,0.62,0.26,0.21,0.3,0.8,0.77,0.82,"E07000149","South Norfolk"
"E02005610","South Norfolk 014",0.63,0.59,0.66,0.23,0.17,0.27,0.81,0.78,0.84,"E07000149","South Norfolk"
"E02005611","South Norfolk 015",0.59,0.56,0.62,0.26,0.22,0.3,0.8,0.78,0.82,"E07000149","South Norfolk"
