"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02003616","Bedford 001",0.66,0.62,0.71,0.19,0.14,0.25,0.84,0.81,0.86,"E06000055","Bedford"
"E02003617","Bedford 002",0.64,0.58,0.7,0.22,0.16,0.28,0.83,0.78,0.86,"E06000055","Bedford"
"E02003618","Bedford 003",0.6,0.55,0.64,0.25,0.2,0.3,0.79,0.76,0.82,"E06000055","Bedford"
"E02003619","Bedford 004",0.6,0.55,0.65,0.25,0.19,0.3,0.78,0.75,0.82,"E06000055","Bedford"
"E02003620","Bedford 005",0.59,0.56,0.63,0.27,0.22,0.31,0.77,0.75,0.79,"E06000055","Bedford"
"E02003621","Bedford 006",0.6,0.57,0.63,0.25,0.2,0.29,0.79,0.77,0.81,"E06000055","Bedford"
"E02003622","Bedford 007",0.54,0.51,0.58,0.3,0.26,0.34,0.72,0.69,0.74,"E06000055","Bedford"
"E02003623","Bedford 008",0.64,0.61,0.67,0.21,0.15,0.25,0.84,0.82,0.85,"E06000055","Bedford"
"E02003624","Bedford 009",0.69,0.66,0.72,0.19,0.14,0.24,0.84,0.82,0.86,"E06000055","Bedford"
"E02003625","Bedford 010",0.63,0.59,0.66,0.25,0.2,0.3,0.78,0.76,0.8,"E06000055","Bedford"
"E02003626","Bedford 011",0.62,0.58,0.66,0.23,0.17,0.27,0.8,0.77,0.82,"E06000055","Bedford"
"E02003627","Bedford 012",0.68,0.64,0.71,0.21,0.16,0.26,0.81,0.78,0.83,"E06000055","Bedford"
"E02003628","Bedford 013",0.53,0.49,0.57,0.34,0.29,0.38,0.68,0.64,0.71,"E06000055","Bedford"
"E02003629","Bedford 014",0.55,0.51,0.58,0.32,0.28,0.36,0.7,0.68,0.73,"E06000055","Bedford"
"E02003630","Bedford 015",0.55,0.51,0.59,0.33,0.28,0.37,0.69,0.65,0.72,"E06000055","Bedford"
"E02003631","Bedford 016",0.59,0.55,0.63,0.27,0.21,0.31,0.77,0.74,0.8,"E06000055","Bedford"
"E02003632","Bedford 017",0.59,0.56,0.62,0.26,0.21,0.3,0.75,0.73,0.78,"E06000055","Bedford"
"E02003633","Bedford 018",0.57,0.51,0.62,0.28,0.22,0.33,0.75,0.7,0.78,"E06000055","Bedford"
"E02003634","Bedford 019",0.58,0.52,0.63,0.26,0.2,0.32,0.77,0.72,0.81,"E06000055","Bedford"
"E02003635","Bedford 020",0.59,0.53,0.64,0.26,0.2,0.31,0.78,0.74,0.82,"E06000055","Bedford"
