"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004591","Uttlesford 001",0.71,0.67,0.74,0.16,0.1,0.21,0.87,0.85,0.89,"E07000077","Uttlesford"
"E02004592","Uttlesford 002",0.67,0.64,0.7,0.19,0.14,0.24,0.83,0.81,0.85,"E07000077","Uttlesford"
"E02004593","Uttlesford 003",0.68,0.64,0.72,0.17,0.11,0.22,0.86,0.83,0.88,"E07000077","Uttlesford"
"E02004594","Uttlesford 004",0.68,0.63,0.72,0.17,0.11,0.22,0.86,0.83,0.89,"E07000077","Uttlesford"
"E02004595","Uttlesford 005",0.67,0.62,0.71,0.18,0.12,0.23,0.83,0.8,0.86,"E07000077","Uttlesford"
"E02004596","Uttlesford 006",0.65,0.61,0.69,0.2,0.15,0.25,0.81,0.78,0.84,"E07000077","Uttlesford"
"E02004597","Uttlesford 007",0.66,0.63,0.7,0.19,0.14,0.23,0.83,0.81,0.85,"E07000077","Uttlesford"
"E02004598","Uttlesford 008",0.65,0.61,0.7,0.19,0.14,0.24,0.84,0.81,0.87,"E07000077","Uttlesford"
"E02004599","Uttlesford 009",0.66,0.61,0.71,0.19,0.14,0.24,0.84,0.8,0.87,"E07000077","Uttlesford"
