"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02006344","Guildford 001",0.68,0.63,0.72,0.19,0.13,0.24,0.85,0.83,0.87,"E07000209","Guildford"
"E02006345","Guildford 002",0.66,0.62,0.7,0.2,0.14,0.24,0.84,0.82,0.86,"E07000209","Guildford"
"E02006346","Guildford 003",0.71,0.68,0.74,0.16,0.1,0.21,0.88,0.87,0.9,"E07000209","Guildford"
"E02006347","Guildford 004",0.64,0.61,0.68,0.21,0.16,0.25,0.82,0.8,0.84,"E07000209","Guildford"
"E02006348","Guildford 005",0.67,0.63,0.71,0.2,0.14,0.24,0.83,0.81,0.86,"E07000209","Guildford"
"E02006349","Guildford 006",0.7,0.67,0.73,0.18,0.12,0.22,0.85,0.83,0.87,"E07000209","Guildford"
"E02006350","Guildford 007",0.64,0.6,0.67,0.25,0.2,0.29,0.77,0.75,0.8,"E07000209","Guildford"
"E02006351","Guildford 008",0.68,0.65,0.71,0.19,0.14,0.24,0.84,0.82,0.86,"E07000209","Guildford"
"E02006352","Guildford 009",0.69,0.66,0.72,0.18,0.13,0.23,0.84,0.82,0.86,"E07000209","Guildford"
"E02006353","Guildford 010",0.62,0.58,0.65,0.23,0.19,0.28,0.79,0.76,0.81,"E07000209","Guildford"
"E02006354","Guildford 011",0.72,0.69,0.75,0.17,0.11,0.22,0.87,0.86,0.89,"E07000209","Guildford"
"E02006355","Guildford 012",0.68,0.65,0.72,0.21,0.16,0.26,0.81,0.79,0.84,"E07000209","Guildford"
"E02006356","Guildford 013",0.77,0.74,0.8,0.14,0.08,0.19,0.88,0.86,0.89,"E07000209","Guildford"
"E02006357","Guildford 014",0.65,0.61,0.69,0.21,0.16,0.26,0.82,0.79,0.84,"E07000209","Guildford"
"E02006358","Guildford 015",0.78,0.75,0.81,0.13,0.07,0.18,0.89,0.87,0.9,"E07000209","Guildford"
"E02006359","Guildford 016",0.76,0.73,0.79,0.13,0.08,0.18,0.89,0.87,0.91,"E07000209","Guildford"
"E02006360","Guildford 017",0.69,0.63,0.74,0.18,0.12,0.24,0.86,0.82,0.89,"E07000209","Guildford"
"E02006361","Guildford 018",0.72,0.68,0.76,0.16,0.1,0.22,0.87,0.84,0.89,"E07000209","Guildford"
