"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005978","Vale of White Horse 001",0.69,0.66,0.72,0.17,0.12,0.22,0.87,0.85,0.88,"E07000180","Vale of White Horse"
"E02005979","Vale of White Horse 002",0.68,0.65,0.72,0.18,0.13,0.23,0.86,0.84,0.88,"E07000180","Vale of White Horse"
"E02005980","Vale of White Horse 003",0.66,0.63,0.7,0.2,0.14,0.24,0.85,0.82,0.86,"E07000180","Vale of White Horse"
"E02005981","Vale of White Horse 004",0.68,0.66,0.7,0.19,0.13,0.23,0.85,0.83,0.86,"E07000180","Vale of White Horse"
"E02005982","Vale of White Horse 005",0.67,0.64,0.69,0.2,0.15,0.25,0.84,0.83,0.85,"E07000180","Vale of White Horse"
"E02005983","Vale of White Horse 006",0.69,0.66,0.71,0.2,0.14,0.24,0.85,0.83,0.86,"E07000180","Vale of White Horse"
"E02005984","Vale of White Horse 007",0.69,0.66,0.72,0.16,0.11,0.21,0.87,0.85,0.89,"E07000180","Vale of White Horse"
"E02005985","Vale of White Horse 008",0.64,0.61,0.67,0.22,0.18,0.27,0.81,0.79,0.83,"E07000180","Vale of White Horse"
"E02005986","Vale of White Horse 009",0.66,0.64,0.69,0.2,0.15,0.24,0.84,0.82,0.86,"E07000180","Vale of White Horse"
"E02005987","Vale of White Horse 010",0.66,0.63,0.69,0.21,0.16,0.26,0.83,0.81,0.85,"E07000180","Vale of White Horse"
"E02005988","Vale of White Horse 011",0.6,0.57,0.62,0.23,0.18,0.27,0.81,0.8,0.83,"E07000180","Vale of White Horse"
"E02005991","Vale of White Horse 014",0.64,0.61,0.66,0.22,0.17,0.26,0.83,0.82,0.84,"E07000180","Vale of White Horse"
"E02005992","Vale of White Horse 015",0.66,0.63,0.69,0.19,0.14,0.24,0.84,0.82,0.86,"E07000180","Vale of White Horse"
"E02006886","Vale of White Horse 016",0.7,0.66,0.73,0.17,0.12,0.22,0.87,0.84,0.89,"E07000180","Vale of White Horse"
