"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005782","Richmondshire 001",0.68,0.65,0.72,0.21,0.15,0.26,0.81,0.78,0.83,"E07000166","Richmondshire"
"E02005783","Richmondshire 002",0.7,0.67,0.73,0.21,0.16,0.25,0.82,0.8,0.84,"E07000166","Richmondshire"
"E02005784","Richmondshire 003",0.68,0.64,0.71,0.21,0.16,0.26,0.81,0.78,0.83,"E07000166","Richmondshire"
"E02005785","Richmondshire 004",0.65,0.61,0.69,0.23,0.18,0.27,0.79,0.76,0.81,"E07000166","Richmondshire"
"E02005786","Richmondshire 005",0.69,0.64,0.73,0.22,0.16,0.27,0.82,0.78,0.85,"E07000166","Richmondshire"
"E02005787","Richmondshire 006",0.68,0.64,0.72,0.2,0.15,0.25,0.82,0.79,0.85,"E07000166","Richmondshire"
