"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02002535","Stockton-on-Tees 001",0.63,0.59,0.67,0.24,0.19,0.29,0.79,0.76,0.82,"E06000004","Stockton-on-Tees"
"E02002536","Stockton-on-Tees 002",0.57,0.55,0.6,0.29,0.25,0.33,0.74,0.72,0.76,"E06000004","Stockton-on-Tees"
"E02002537","Stockton-on-Tees 003",0.54,0.51,0.57,0.34,0.3,0.38,0.69,0.67,0.71,"E06000004","Stockton-on-Tees"
"E02002538","Stockton-on-Tees 004",0.56,0.53,0.58,0.31,0.27,0.35,0.73,0.71,0.75,"E06000004","Stockton-on-Tees"
"E02002539","Stockton-on-Tees 005",0.66,0.62,0.69,0.22,0.16,0.26,0.82,0.8,0.84,"E06000004","Stockton-on-Tees"
"E02002540","Stockton-on-Tees 006",0.63,0.6,0.65,0.24,0.19,0.28,0.8,0.79,0.82,"E06000004","Stockton-on-Tees"
"E02002541","Stockton-on-Tees 007",0.57,0.55,0.59,0.28,0.24,0.32,0.75,0.73,0.76,"E06000004","Stockton-on-Tees"
"E02002542","Stockton-on-Tees 008",0.5,0.47,0.53,0.38,0.34,0.42,0.64,0.61,0.66,"E06000004","Stockton-on-Tees"
"E02002543","Stockton-on-Tees 009",0.52,0.5,0.55,0.36,0.31,0.39,0.67,0.65,0.69,"E06000004","Stockton-on-Tees"
"E02002544","Stockton-on-Tees 010",0.54,0.51,0.57,0.33,0.29,0.37,0.69,0.66,0.71,"E06000004","Stockton-on-Tees"
"E02002545","Stockton-on-Tees 011",0.57,0.54,0.6,0.28,0.24,0.32,0.74,0.72,0.76,"E06000004","Stockton-on-Tees"
"E02002546","Stockton-on-Tees 012",0.55,0.52,0.58,0.32,0.28,0.36,0.7,0.68,0.72,"E06000004","Stockton-on-Tees"
"E02002547","Stockton-on-Tees 013",0.6,0.57,0.62,0.26,0.21,0.3,0.77,0.76,0.79,"E06000004","Stockton-on-Tees"
"E02002548","Stockton-on-Tees 014",0.53,0.5,0.55,0.33,0.29,0.37,0.69,0.67,0.72,"E06000004","Stockton-on-Tees"
"E02002549","Stockton-on-Tees 015",0.58,0.56,0.6,0.28,0.23,0.32,0.77,0.76,0.79,"E06000004","Stockton-on-Tees"
"E02002550","Stockton-on-Tees 016",0.6,0.57,0.63,0.24,0.19,0.29,0.8,0.78,0.82,"E06000004","Stockton-on-Tees"
"E02002551","Stockton-on-Tees 017",0.58,0.55,0.61,0.29,0.24,0.32,0.72,0.69,0.74,"E06000004","Stockton-on-Tees"
"E02002552","Stockton-on-Tees 018",0.56,0.53,0.59,0.28,0.24,0.32,0.72,0.69,0.74,"E06000004","Stockton-on-Tees"
"E02002553","Stockton-on-Tees 019",0.57,0.54,0.6,0.28,0.24,0.32,0.74,0.72,0.76,"E06000004","Stockton-on-Tees"
"E02002554","Stockton-on-Tees 020",0.53,0.49,0.57,0.33,0.29,0.37,0.68,0.65,0.71,"E06000004","Stockton-on-Tees"
"E02002555","Stockton-on-Tees 021",0.64,0.62,0.66,0.21,0.16,0.25,0.84,0.83,0.85,"E06000004","Stockton-on-Tees"
"E02002556","Stockton-on-Tees 022",0.67,0.64,0.7,0.18,0.13,0.23,0.82,0.8,0.84,"E06000004","Stockton-on-Tees"
"E02002557","Stockton-on-Tees 023",0.66,0.63,0.69,0.18,0.13,0.23,0.82,0.8,0.83,"E06000004","Stockton-on-Tees"
"E02002558","Stockton-on-Tees 024",0.69,0.66,0.71,0.18,0.13,0.22,0.83,0.82,0.85,"E06000004","Stockton-on-Tees"
