"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005492","West Lindsey 001",0.61,0.57,0.65,0.26,0.21,0.3,0.77,0.74,0.8,"E07000142","West Lindsey"
"E02005493","West Lindsey 002",0.62,0.58,0.65,0.26,0.21,0.3,0.79,0.76,0.81,"E07000142","West Lindsey"
"E02005494","West Lindsey 003",0.61,0.57,0.65,0.27,0.22,0.32,0.77,0.74,0.79,"E07000142","West Lindsey"
"E02005495","West Lindsey 004",0.55,0.52,0.59,0.33,0.29,0.37,0.71,0.68,0.73,"E07000142","West Lindsey"
"E02005496","West Lindsey 005",0.61,0.57,0.65,0.26,0.2,0.31,0.76,0.73,0.79,"E07000142","West Lindsey"
"E02005497","West Lindsey 006",0.51,0.48,0.55,0.35,0.31,0.39,0.68,0.66,0.71,"E07000142","West Lindsey"
"E02005498","West Lindsey 007",0.57,0.53,0.6,0.29,0.24,0.33,0.76,0.74,0.79,"E07000142","West Lindsey"
"E02005499","West Lindsey 008",0.61,0.58,0.64,0.24,0.19,0.28,0.8,0.78,0.82,"E07000142","West Lindsey"
"E02005500","West Lindsey 009",0.61,0.57,0.65,0.23,0.18,0.27,0.81,0.79,0.84,"E07000142","West Lindsey"
"E02005501","West Lindsey 010",0.63,0.6,0.67,0.21,0.16,0.26,0.84,0.82,0.86,"E07000142","West Lindsey"
"E02005502","West Lindsey 011",0.57,0.54,0.6,0.29,0.24,0.33,0.76,0.74,0.78,"E07000142","West Lindsey"
