"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004980","Welwyn Hatfield 001",0.68,0.65,0.71,0.17,0.12,0.22,0.86,0.84,0.88,"E07000241","Welwyn Hatfield"
"E02004981","Welwyn Hatfield 002",0.67,0.62,0.71,0.19,0.13,0.24,0.83,0.8,0.85,"E07000241","Welwyn Hatfield"
"E02004982","Welwyn Hatfield 003",0.64,0.6,0.67,0.21,0.15,0.25,0.83,0.81,0.85,"E07000241","Welwyn Hatfield"
"E02004983","Welwyn Hatfield 004",0.63,0.59,0.67,0.23,0.18,0.28,0.81,0.78,0.83,"E07000241","Welwyn Hatfield"
"E02004984","Welwyn Hatfield 005",0.64,0.61,0.67,0.22,0.17,0.26,0.82,0.8,0.84,"E07000241","Welwyn Hatfield"
"E02004985","Welwyn Hatfield 006",0.66,0.63,0.7,0.21,0.15,0.25,0.84,0.81,0.86,"E07000241","Welwyn Hatfield"
"E02004986","Welwyn Hatfield 007",0.61,0.57,0.65,0.25,0.2,0.29,0.77,0.74,0.8,"E07000241","Welwyn Hatfield"
"E02004987","Welwyn Hatfield 008",0.63,0.59,0.67,0.23,0.18,0.28,0.8,0.77,0.83,"E07000241","Welwyn Hatfield"
"E02004988","Welwyn Hatfield 009",0.62,0.58,0.66,0.23,0.17,0.27,0.8,0.77,0.82,"E07000241","Welwyn Hatfield"
"E02004989","Welwyn Hatfield 010",0.67,0.63,0.71,0.21,0.16,0.26,0.8,0.77,0.83,"E07000241","Welwyn Hatfield"
"E02004990","Welwyn Hatfield 011",0.65,0.61,0.7,0.23,0.17,0.28,0.8,0.77,0.83,"E07000241","Welwyn Hatfield"
"E02004991","Welwyn Hatfield 012",0.64,0.61,0.67,0.25,0.2,0.29,0.77,0.75,0.79,"E07000241","Welwyn Hatfield"
"E02004992","Welwyn Hatfield 013",0.64,0.6,0.68,0.25,0.19,0.3,0.76,0.73,0.79,"E07000241","Welwyn Hatfield"
"E02004993","Welwyn Hatfield 014",0.6,0.55,0.64,0.25,0.2,0.29,0.79,0.76,0.81,"E07000241","Welwyn Hatfield"
"E02004994","Welwyn Hatfield 015",0.68,0.63,0.73,0.18,0.12,0.23,0.86,0.83,0.89,"E07000241","Welwyn Hatfield"
"E02004995","Welwyn Hatfield 016",0.64,0.6,0.67,0.2,0.15,0.24,0.83,0.81,0.85,"E07000241","Welwyn Hatfield"
