"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02001611","Sheffield 001",0.63,0.6,0.65,0.24,0.19,0.27,0.79,0.77,0.8,"E08000019","Sheffield"
"E02001612","Sheffield 002",0.68,0.66,0.7,0.19,0.14,0.23,0.83,0.81,0.85,"E08000019","Sheffield"
"E02001613","Sheffield 003",0.61,0.58,0.64,0.27,0.22,0.31,0.77,0.75,0.79,"E08000019","Sheffield"
"E02001614","Sheffield 004",0.62,0.6,0.65,0.26,0.22,0.3,0.79,0.77,0.8,"E08000019","Sheffield"
"E02001615","Sheffield 005",0.65,0.62,0.69,0.22,0.17,0.26,0.82,0.8,0.84,"E08000019","Sheffield"
"E02001616","Sheffield 006",0.54,0.51,0.57,0.33,0.29,0.37,0.71,0.69,0.74,"E08000019","Sheffield"
"E02001617","Sheffield 007",0.5,0.47,0.53,0.37,0.33,0.41,0.65,0.62,0.68,"E08000019","Sheffield"
"E02001618","Sheffield 008",0.68,0.64,0.72,0.21,0.15,0.25,0.82,0.79,0.85,"E08000019","Sheffield"
"E02001619","Sheffield 009",0.54,0.5,0.57,0.34,0.3,0.38,0.67,0.64,0.7,"E08000019","Sheffield"
"E02001620","Sheffield 010",0.49,0.46,0.52,0.38,0.34,0.41,0.64,0.61,0.66,"E08000019","Sheffield"
"E02001621","Sheffield 011",0.5,0.46,0.54,0.37,0.33,0.41,0.65,0.61,0.68,"E08000019","Sheffield"
"E02001622","Sheffield 012",0.52,0.49,0.56,0.35,0.3,0.38,0.68,0.66,0.71,"E08000019","Sheffield"
"E02001623","Sheffield 013",0.47,0.43,0.51,0.4,0.36,0.44,0.63,0.59,0.66,"E08000019","Sheffield"
"E02001624","Sheffield 014",0.54,0.51,0.58,0.32,0.27,0.36,0.7,0.67,0.73,"E08000019","Sheffield"
"E02001625","Sheffield 015",0.5,0.47,0.54,0.37,0.33,0.41,0.65,0.62,0.68,"E08000019","Sheffield"
"E02001626","Sheffield 016",0.67,0.65,0.7,0.19,0.14,0.23,0.83,0.81,0.84,"E08000019","Sheffield"
"E02001627","Sheffield 017",0.65,0.62,0.69,0.23,0.18,0.27,0.78,0.76,0.81,"E08000019","Sheffield"
"E02001628","Sheffield 018",0.49,0.44,0.53,0.37,0.32,0.41,0.64,0.61,0.68,"E08000019","Sheffield"
"E02001629","Sheffield 019",0.52,0.48,0.55,0.35,0.31,0.39,0.67,0.64,0.7,"E08000019","Sheffield"
"E02001630","Sheffield 020",0.53,0.49,0.56,0.35,0.3,0.38,0.67,0.64,0.69,"E08000019","Sheffield"
"E02001631","Sheffield 021",0.65,0.62,0.69,0.22,0.16,0.26,0.8,0.77,0.82,"E08000019","Sheffield"
"E02001632","Sheffield 022",0.53,0.48,0.58,0.33,0.28,0.38,0.67,0.62,0.7,"E08000019","Sheffield"
"E02001633","Sheffield 023",0.69,0.66,0.71,0.2,0.15,0.24,0.83,0.81,0.85,"E08000019","Sheffield"
"E02001634","Sheffield 024",0.73,0.7,0.76,0.16,0.11,0.21,0.86,0.84,0.88,"E08000019","Sheffield"
"E02001635","Sheffield 025",0.61,0.57,0.66,0.27,0.21,0.32,0.77,0.73,0.8,"E08000019","Sheffield"
"E02001636","Sheffield 026",0.63,0.58,0.67,0.25,0.19,0.29,0.77,0.73,0.8,"E08000019","Sheffield"
"E02001637","Sheffield 027",0.47,0.42,0.52,0.38,0.33,0.43,0.62,0.57,0.67,"E08000019","Sheffield"
"E02001638","Sheffield 028",0.82,0.79,0.84,0.11,0.05,0.16,0.9,0.88,0.91,"E08000019","Sheffield"
"E02001639","Sheffield 029",0.76,0.72,0.79,0.15,0.09,0.2,0.87,0.85,0.89,"E08000019","Sheffield"
"E02001640","Sheffield 030",0.81,0.77,0.84,0.12,0.06,0.17,0.89,0.87,0.91,"E08000019","Sheffield"
"E02001642","Sheffield 032",0.55,0.51,0.59,0.3,0.25,0.35,0.73,0.69,0.76,"E08000019","Sheffield"
"E02001643","Sheffield 033",0.72,0.69,0.75,0.17,0.11,0.22,0.87,0.85,0.89,"E08000019","Sheffield"
"E02001646","Sheffield 036",0.82,0.79,0.85,0.11,0.05,0.16,0.9,0.88,0.92,"E08000019","Sheffield"
"E02001647","Sheffield 037",0.55,0.51,0.6,0.31,0.26,0.36,0.73,0.7,0.76,"E08000019","Sheffield"
"E02001648","Sheffield 038",0.81,0.78,0.84,0.11,0.05,0.17,0.91,0.89,0.93,"E08000019","Sheffield"
"E02001649","Sheffield 039",0.5,0.45,0.55,0.37,0.31,0.42,0.63,0.58,0.68,"E08000019","Sheffield"
"E02001650","Sheffield 040",0.72,0.68,0.75,0.18,0.13,0.23,0.82,0.8,0.85,"E08000019","Sheffield"
"E02001651","Sheffield 041",0.75,0.7,0.79,0.15,0.09,0.2,0.88,0.85,0.91,"E08000019","Sheffield"
"E02001652","Sheffield 042",0.71,0.66,0.75,0.17,0.12,0.23,0.83,0.79,0.86,"E08000019","Sheffield"
"E02001653","Sheffield 043",0.59,0.55,0.63,0.29,0.24,0.33,0.73,0.69,0.76,"E08000019","Sheffield"
"E02001654","Sheffield 044",0.55,0.51,0.59,0.3,0.25,0.34,0.73,0.69,0.76,"E08000019","Sheffield"
