"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02003122","Plymouth 001",0.62,0.58,0.66,0.23,0.18,0.27,0.84,0.81,0.86,"E06000026","Plymouth"
"E02003123","Plymouth 002",0.6,0.56,0.65,0.26,0.21,0.31,0.78,0.74,0.82,"E06000026","Plymouth"
"E02003124","Plymouth 003",0.62,0.56,0.67,0.25,0.19,0.3,0.78,0.73,0.81,"E06000026","Plymouth"
"E02003125","Plymouth 004",0.61,0.57,0.65,0.25,0.2,0.3,0.76,0.72,0.79,"E06000026","Plymouth"
"E02003126","Plymouth 005",0.64,0.59,0.69,0.23,0.18,0.28,0.8,0.77,0.84,"E06000026","Plymouth"
"E02003127","Plymouth 006",0.61,0.56,0.66,0.27,0.22,0.32,0.75,0.71,0.79,"E06000026","Plymouth"
"E02003128","Plymouth 007",0.6,0.55,0.65,0.27,0.22,0.32,0.75,0.71,0.79,"E06000026","Plymouth"
"E02003129","Plymouth 008",0.64,0.58,0.69,0.24,0.18,0.29,0.81,0.76,0.84,"E06000026","Plymouth"
"E02003130","Plymouth 009",0.62,0.58,0.66,0.26,0.21,0.31,0.76,0.72,0.79,"E06000026","Plymouth"
"E02003131","Plymouth 010",0.62,0.56,0.67,0.26,0.2,0.31,0.77,0.73,0.81,"E06000026","Plymouth"
"E02003132","Plymouth 011",0.66,0.62,0.71,0.23,0.18,0.28,0.79,0.76,0.83,"E06000026","Plymouth"
"E02003133","Plymouth 012",0.63,0.59,0.67,0.26,0.21,0.3,0.77,0.74,0.8,"E06000026","Plymouth"
"E02003134","Plymouth 013",0.59,0.53,0.65,0.28,0.22,0.34,0.74,0.69,0.79,"E06000026","Plymouth"
"E02003135","Plymouth 014",0.64,0.59,0.69,0.25,0.2,0.3,0.76,0.72,0.8,"E06000026","Plymouth"
"E02003136","Plymouth 015",0.66,0.62,0.7,0.23,0.17,0.27,0.83,0.8,0.86,"E06000026","Plymouth"
"E02003137","Plymouth 016",0.71,0.67,0.75,0.18,0.12,0.22,0.87,0.85,0.89,"E06000026","Plymouth"
"E02003138","Plymouth 017",0.73,0.69,0.76,0.15,0.1,0.2,0.87,0.85,0.89,"E06000026","Plymouth"
"E02003139","Plymouth 018",0.69,0.65,0.72,0.18,0.13,0.22,0.84,0.82,0.86,"E06000026","Plymouth"
"E02003140","Plymouth 019",0.65,0.61,0.69,0.23,0.17,0.27,0.82,0.79,0.85,"E06000026","Plymouth"
"E02003141","Plymouth 020",0.68,0.64,0.71,0.22,0.17,0.27,0.81,0.79,0.84,"E06000026","Plymouth"
"E02003142","Plymouth 021",0.62,0.58,0.66,0.26,0.21,0.31,0.75,0.72,0.79,"E06000026","Plymouth"
"E02003143","Plymouth 022",0.66,0.62,0.7,0.23,0.18,0.27,0.82,0.79,0.84,"E06000026","Plymouth"
"E02003144","Plymouth 023",0.77,0.73,0.81,0.13,0.07,0.18,0.87,0.85,0.9,"E06000026","Plymouth"
"E02003145","Plymouth 024",0.7,0.66,0.73,0.19,0.14,0.24,0.84,0.81,0.87,"E06000026","Plymouth"
"E02003146","Plymouth 025",0.74,0.71,0.77,0.15,0.09,0.2,0.85,0.83,0.87,"E06000026","Plymouth"
"E02003147","Plymouth 026",0.59,0.55,0.63,0.3,0.25,0.34,0.73,0.7,0.76,"E06000026","Plymouth"
"E02003148","Plymouth 027",0.7,0.67,0.73,0.19,0.13,0.23,0.83,0.8,0.85,"E06000026","Plymouth"
"E02003149","Plymouth 028",0.67,0.63,0.71,0.2,0.14,0.24,0.82,0.79,0.84,"E06000026","Plymouth"
"E02003150","Plymouth 029",0.69,0.66,0.72,0.2,0.15,0.25,0.82,0.8,0.84,"E06000026","Plymouth"
"E02003151","Plymouth 030",0.65,0.62,0.68,0.23,0.19,0.28,0.84,0.82,0.85,"E06000026","Plymouth"
"E02003152","Plymouth 031",0.65,0.63,0.68,0.22,0.17,0.26,0.84,0.82,0.86,"E06000026","Plymouth"
"E02003153","Plymouth 032",0.64,0.61,0.66,0.23,0.18,0.27,0.82,0.8,0.84,"E06000026","Plymouth"
