"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02003090","South Gloucestershire 001",0.69,0.67,0.72,0.17,0.12,0.21,0.87,0.86,0.88,"E06000025","South Gloucestershire"
"E02003091","South Gloucestershire 002",0.67,0.65,0.69,0.18,0.14,0.23,0.85,0.83,0.86,"E06000025","South Gloucestershire"
"E02003092","South Gloucestershire 003",0.69,0.65,0.72,0.17,0.12,0.22,0.85,0.83,0.87,"E06000025","South Gloucestershire"
"E02003093","South Gloucestershire 004",0.68,0.66,0.71,0.17,0.12,0.21,0.87,0.86,0.89,"E06000025","South Gloucestershire"
"E02003094","South Gloucestershire 005",0.63,0.59,0.67,0.22,0.17,0.26,0.81,0.78,0.84,"E06000025","South Gloucestershire"
"E02003095","South Gloucestershire 006",0.65,0.62,0.68,0.2,0.15,0.25,0.84,0.82,0.86,"E06000025","South Gloucestershire"
"E02003096","South Gloucestershire 007",0.61,0.58,0.64,0.24,0.2,0.29,0.79,0.77,0.81,"E06000025","South Gloucestershire"
"E02003097","South Gloucestershire 008",0.65,0.62,0.67,0.21,0.16,0.25,0.85,0.83,0.86,"E06000025","South Gloucestershire"
"E02003098","South Gloucestershire 009",0.66,0.63,0.69,0.19,0.14,0.24,0.83,0.81,0.84,"E06000025","South Gloucestershire"
"E02003099","South Gloucestershire 010",0.59,0.55,0.62,0.26,0.21,0.3,0.79,0.77,0.82,"E06000025","South Gloucestershire"
"E02003100","South Gloucestershire 011",0.55,0.52,0.59,0.28,0.24,0.33,0.75,0.72,0.77,"E06000025","South Gloucestershire"
"E02003101","South Gloucestershire 012",0.69,0.66,0.71,0.18,0.13,0.23,0.84,0.82,0.85,"E06000025","South Gloucestershire"
"E02003102","South Gloucestershire 013",0.65,0.62,0.68,0.2,0.15,0.24,0.85,0.83,0.87,"E06000025","South Gloucestershire"
"E02003103","South Gloucestershire 014",0.6,0.56,0.63,0.23,0.18,0.27,0.8,0.78,0.83,"E06000025","South Gloucestershire"
"E02003104","South Gloucestershire 015",0.61,0.58,0.63,0.23,0.18,0.27,0.8,0.78,0.81,"E06000025","South Gloucestershire"
"E02003105","South Gloucestershire 016",0.61,0.58,0.64,0.23,0.19,0.28,0.82,0.8,0.84,"E06000025","South Gloucestershire"
"E02003106","South Gloucestershire 017",0.72,0.68,0.75,0.15,0.1,0.2,0.86,0.84,0.88,"E06000025","South Gloucestershire"
"E02003107","South Gloucestershire 018",0.62,0.59,0.65,0.24,0.19,0.28,0.8,0.78,0.82,"E06000025","South Gloucestershire"
"E02003108","South Gloucestershire 019",0.61,0.52,0.69,0.24,0.17,0.32,0.8,0.73,0.85,"E06000025","South Gloucestershire"
"E02003109","South Gloucestershire 020",0.63,0.58,0.67,0.22,0.16,0.27,0.83,0.8,0.86,"E06000025","South Gloucestershire"
"E02003110","South Gloucestershire 021",0.67,0.62,0.72,0.17,0.11,0.22,0.85,0.82,0.87,"E06000025","South Gloucestershire"
"E02003111","South Gloucestershire 022",0.62,0.56,0.68,0.22,0.16,0.28,0.82,0.79,0.86,"E06000025","South Gloucestershire"
"E02003112","South Gloucestershire 023",0.57,0.51,0.63,0.27,0.21,0.33,0.77,0.73,0.81,"E06000025","South Gloucestershire"
"E02003113","South Gloucestershire 024",0.68,0.58,0.75,0.18,0.11,0.26,0.85,0.79,0.9,"E06000025","South Gloucestershire"
"E02003114","South Gloucestershire 025",0.59,0.52,0.65,0.26,0.19,0.32,0.8,0.75,0.84,"E06000025","South Gloucestershire"
"E02003115","South Gloucestershire 026",0.61,0.55,0.67,0.25,0.19,0.31,0.8,0.75,0.84,"E06000025","South Gloucestershire"
"E02003116","South Gloucestershire 027",0.56,0.5,0.62,0.29,0.23,0.35,0.76,0.71,0.8,"E06000025","South Gloucestershire"
"E02003117","South Gloucestershire 028",0.61,0.54,0.67,0.25,0.19,0.31,0.79,0.74,0.83,"E06000025","South Gloucestershire"
"E02003118","South Gloucestershire 029",0.61,0.54,0.67,0.23,0.17,0.29,0.81,0.76,0.85,"E06000025","South Gloucestershire"
"E02003119","South Gloucestershire 030",0.6,0.55,0.65,0.24,0.18,0.29,0.79,0.76,0.83,"E06000025","South Gloucestershire"
"E02003120","South Gloucestershire 031",0.62,0.56,0.68,0.24,0.18,0.3,0.81,0.77,0.85,"E06000025","South Gloucestershire"
"E02003121","South Gloucestershire 032",0.64,0.57,0.69,0.22,0.16,0.27,0.83,0.79,0.87,"E06000025","South Gloucestershire"
