"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02000065","Bexley 001",0.54,0.5,0.58,0.3,0.25,0.34,0.7,0.67,0.73,"E09000004","Bexley"
"E02000066","Bexley 002",0.49,0.45,0.54,0.35,0.3,0.4,0.66,0.62,0.7,"E09000004","Bexley"
"E02000067","Bexley 003",0.54,0.49,0.58,0.31,0.25,0.35,0.71,0.68,0.75,"E09000004","Bexley"
"E02000068","Bexley 004",0.56,0.51,0.59,0.29,0.25,0.34,0.71,0.67,0.74,"E09000004","Bexley"
"E02000069","Bexley 005",0.55,0.51,0.59,0.29,0.24,0.34,0.73,0.7,0.76,"E09000004","Bexley"
"E02000070","Bexley 006",0.56,0.51,0.6,0.28,0.22,0.33,0.76,0.73,0.8,"E09000004","Bexley"
"E02000071","Bexley 007",0.59,0.54,0.63,0.27,0.22,0.32,0.77,0.74,0.8,"E09000004","Bexley"
"E02000072","Bexley 008",0.55,0.51,0.58,0.31,0.27,0.36,0.7,0.67,0.73,"E09000004","Bexley"
"E02000073","Bexley 009",0.6,0.55,0.64,0.27,0.21,0.32,0.78,0.74,0.81,"E09000004","Bexley"
"E02000074","Bexley 010",0.54,0.5,0.58,0.32,0.27,0.37,0.71,0.67,0.74,"E09000004","Bexley"
"E02000075","Bexley 011",0.6,0.57,0.64,0.26,0.21,0.31,0.79,0.76,0.81,"E09000004","Bexley"
"E02000077","Bexley 013",0.59,0.56,0.63,0.27,0.22,0.31,0.77,0.75,0.8,"E09000004","Bexley"
"E02000078","Bexley 014",0.6,0.57,0.64,0.25,0.2,0.29,0.8,0.78,0.83,"E09000004","Bexley"
"E02000079","Bexley 015",0.62,0.59,0.65,0.24,0.19,0.29,0.81,0.79,0.83,"E09000004","Bexley"
"E02000080","Bexley 016",0.59,0.56,0.63,0.26,0.21,0.3,0.79,0.76,0.81,"E09000004","Bexley"
"E02000081","Bexley 017",0.62,0.58,0.65,0.26,0.21,0.3,0.78,0.76,0.81,"E09000004","Bexley"
"E02000082","Bexley 018",0.6,0.56,0.64,0.25,0.2,0.29,0.8,0.77,0.82,"E09000004","Bexley"
"E02000083","Bexley 019",0.56,0.52,0.6,0.3,0.26,0.35,0.73,0.69,0.75,"E09000004","Bexley"
"E02000084","Bexley 020",0.62,0.58,0.66,0.23,0.18,0.28,0.81,0.78,0.84,"E09000004","Bexley"
"E02000085","Bexley 021",0.59,0.55,0.63,0.27,0.22,0.31,0.78,0.75,0.8,"E09000004","Bexley"
"E02000086","Bexley 022",0.6,0.56,0.64,0.23,0.18,0.28,0.8,0.78,0.83,"E09000004","Bexley"
"E02000087","Bexley 023",0.64,0.6,0.68,0.24,0.18,0.28,0.81,0.78,0.83,"E09000004","Bexley"
"E02000088","Bexley 024",0.63,0.59,0.67,0.23,0.17,0.27,0.8,0.78,0.83,"E09000004","Bexley"
"E02000089","Bexley 025",0.63,0.59,0.66,0.23,0.18,0.27,0.82,0.79,0.84,"E09000004","Bexley"
"E02000090","Bexley 026",0.65,0.62,0.69,0.22,0.17,0.27,0.82,0.79,0.84,"E09000004","Bexley"
"E02000091","Bexley 027",0.64,0.61,0.68,0.23,0.18,0.27,0.8,0.78,0.83,"E09000004","Bexley"
"E02000092","Bexley 028",0.58,0.54,0.62,0.28,0.23,0.33,0.74,0.7,0.77,"E09000004","Bexley"
"E02006785","Bexley 029",0.58,0.49,0.66,0.28,0.2,0.35,0.77,0.69,0.83,"E09000004","Bexley"
