"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02006146","Lichfield 001",0.57,0.53,0.62,0.27,0.22,0.32,0.75,0.72,0.78,"E07000194","Lichfield"
"E02006147","Lichfield 002",0.63,0.59,0.67,0.22,0.17,0.27,0.81,0.79,0.84,"E07000194","Lichfield"
"E02006148","Lichfield 003",0.65,0.6,0.7,0.22,0.16,0.27,0.82,0.78,0.84,"E07000194","Lichfield"
"E02006149","Lichfield 004",0.6,0.56,0.63,0.28,0.23,0.32,0.76,0.74,0.79,"E07000194","Lichfield"
"E02006150","Lichfield 005",0.65,0.62,0.69,0.23,0.18,0.28,0.82,0.8,0.84,"E07000194","Lichfield"
"E02006151","Lichfield 006",0.56,0.52,0.61,0.3,0.24,0.34,0.75,0.72,0.79,"E07000194","Lichfield"
"E02006152","Lichfield 007",0.67,0.64,0.71,0.21,0.16,0.25,0.83,0.81,0.85,"E07000194","Lichfield"
"E02006153","Lichfield 008",0.66,0.61,0.7,0.22,0.17,0.27,0.82,0.78,0.84,"E07000194","Lichfield"
"E02006154","Lichfield 009",0.59,0.55,0.63,0.26,0.21,0.31,0.8,0.76,0.83,"E07000194","Lichfield"
"E02006155","Lichfield 010",0.54,0.51,0.57,0.31,0.26,0.35,0.74,0.72,0.77,"E07000194","Lichfield"
"E02006156","Lichfield 011",0.65,0.59,0.7,0.22,0.16,0.28,0.84,0.8,0.87,"E07000194","Lichfield"
"E02006157","Lichfield 012",0.6,0.55,0.64,0.27,0.21,0.32,0.77,0.74,0.81,"E07000194","Lichfield"
