"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005835","Bassetlaw 001",0.57,0.52,0.61,0.3,0.25,0.35,0.72,0.68,0.76,"E07000171","Bassetlaw"
"E02005836","Bassetlaw 002",0.58,0.54,0.62,0.28,0.23,0.33,0.78,0.75,0.8,"E07000171","Bassetlaw"
"E02005837","Bassetlaw 003",0.62,0.57,0.67,0.25,0.2,0.31,0.79,0.75,0.82,"E07000171","Bassetlaw"
"E02005838","Bassetlaw 004",0.56,0.51,0.62,0.3,0.24,0.36,0.74,0.69,0.78,"E07000171","Bassetlaw"
"E02005839","Bassetlaw 005",0.52,0.49,0.56,0.36,0.31,0.4,0.73,0.7,0.75,"E07000171","Bassetlaw"
"E02005840","Bassetlaw 006",0.61,0.57,0.65,0.24,0.19,0.29,0.78,0.75,0.81,"E07000171","Bassetlaw"
"E02005842","Bassetlaw 008",0.55,0.52,0.59,0.32,0.27,0.36,0.76,0.73,0.78,"E07000171","Bassetlaw"
"E02005843","Bassetlaw 009",0.6,0.56,0.64,0.26,0.21,0.3,0.76,0.72,0.79,"E07000171","Bassetlaw"
"E02005844","Bassetlaw 010",0.54,0.51,0.57,0.32,0.27,0.36,0.74,0.72,0.76,"E07000171","Bassetlaw"
"E02005846","Bassetlaw 012",0.52,0.48,0.55,0.37,0.33,0.41,0.67,0.63,0.7,"E07000171","Bassetlaw"
"E02005847","Bassetlaw 013",0.58,0.55,0.61,0.29,0.25,0.33,0.75,0.73,0.77,"E07000171","Bassetlaw"
"E02005848","Bassetlaw 014",0.55,0.5,0.6,0.3,0.25,0.35,0.74,0.7,0.77,"E07000171","Bassetlaw"
"E02005849","Bassetlaw 015",0.57,0.53,0.61,0.3,0.25,0.35,0.74,0.71,0.77,"E07000171","Bassetlaw"
"E02006903","Bassetlaw 016",0.57,0.52,0.61,0.3,0.25,0.34,0.74,0.7,0.77,"E07000171","Bassetlaw"
