"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02006245","Ipswich 001",0.54,0.5,0.58,0.3,0.25,0.34,0.74,0.71,0.77,"E07000202","Ipswich"
"E02006246","Ipswich 002",0.61,0.58,0.64,0.22,0.18,0.27,0.82,0.79,0.84,"E07000202","Ipswich"
"E02006247","Ipswich 003",0.58,0.54,0.62,0.26,0.21,0.3,0.76,0.73,0.79,"E07000202","Ipswich"
"E02006248","Ipswich 004",0.61,0.58,0.65,0.25,0.2,0.3,0.78,0.76,0.81,"E07000202","Ipswich"
"E02006249","Ipswich 005",0.67,0.64,0.71,0.19,0.13,0.23,0.86,0.84,0.88,"E07000202","Ipswich"
"E02006250","Ipswich 006",0.63,0.59,0.66,0.22,0.17,0.27,0.79,0.76,0.82,"E07000202","Ipswich"
"E02006251","Ipswich 007",0.67,0.63,0.7,0.19,0.14,0.24,0.81,0.79,0.84,"E07000202","Ipswich"
"E02006252","Ipswich 008",0.58,0.55,0.62,0.26,0.21,0.3,0.77,0.75,0.79,"E07000202","Ipswich"
"E02006253","Ipswich 009",0.57,0.54,0.6,0.29,0.24,0.33,0.78,0.76,0.8,"E07000202","Ipswich"
"E02006254","Ipswich 010",0.58,0.54,0.62,0.26,0.21,0.3,0.76,0.73,0.79,"E07000202","Ipswich"
"E02006255","Ipswich 011",0.61,0.58,0.64,0.23,0.19,0.28,0.78,0.76,0.8,"E07000202","Ipswich"
"E02006256","Ipswich 012",0.59,0.57,0.62,0.27,0.23,0.31,0.76,0.73,0.77,"E07000202","Ipswich"
"E02006257","Ipswich 013",0.54,0.51,0.57,0.3,0.26,0.34,0.74,0.71,0.76,"E07000202","Ipswich"
"E02006258","Ipswich 014",0.53,0.5,0.56,0.32,0.27,0.36,0.7,0.68,0.73,"E07000202","Ipswich"
"E02006259","Ipswich 015",0.57,0.53,0.59,0.28,0.24,0.32,0.74,0.71,0.76,"E07000202","Ipswich"
"E02006260","Ipswich 016",0.49,0.46,0.52,0.37,0.33,0.41,0.67,0.65,0.7,"E07000202","Ipswich"
