"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02006393","Runnymede 001",0.67,0.63,0.7,0.19,0.14,0.24,0.84,0.82,0.86,"E07000212","Runnymede"
"E02006394","Runnymede 002",0.69,0.66,0.72,0.17,0.11,0.22,0.86,0.84,0.88,"E07000212","Runnymede"
"E02006395","Runnymede 003",0.6,0.55,0.64,0.25,0.19,0.3,0.78,0.75,0.81,"E07000212","Runnymede"
"E02006396","Runnymede 004",0.56,0.5,0.61,0.26,0.21,0.32,0.78,0.74,0.82,"E07000212","Runnymede"
"E02006397","Runnymede 005",0.64,0.61,0.68,0.2,0.15,0.25,0.84,0.82,0.86,"E07000212","Runnymede"
"E02006398","Runnymede 006",0.61,0.58,0.64,0.25,0.2,0.29,0.79,0.77,0.81,"E07000212","Runnymede"
"E02006399","Runnymede 007",0.61,0.57,0.64,0.26,0.22,0.31,0.79,0.76,0.81,"E07000212","Runnymede"
"E02006400","Runnymede 008",0.62,0.58,0.66,0.24,0.19,0.29,0.81,0.79,0.83,"E07000212","Runnymede"
"E02006401","Runnymede 009",0.6,0.57,0.62,0.27,0.23,0.32,0.78,0.76,0.8,"E07000212","Runnymede"
"E02006402","Runnymede 010",0.61,0.57,0.65,0.26,0.21,0.31,0.79,0.77,0.82,"E07000212","Runnymede"
