"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005681","South Northamptonshire 001",0.61,0.58,0.64,0.24,0.19,0.28,0.79,0.77,0.81,"E07000155","South Northamptonshire"
"E02005682","South Northamptonshire 002",0.67,0.63,0.7,0.2,0.15,0.24,0.84,0.81,0.86,"E07000155","South Northamptonshire"
"E02005683","South Northamptonshire 003",0.63,0.59,0.66,0.22,0.17,0.26,0.81,0.79,0.83,"E07000155","South Northamptonshire"
"E02005684","South Northamptonshire 004",0.66,0.63,0.69,0.19,0.14,0.24,0.84,0.82,0.85,"E07000155","South Northamptonshire"
"E02005685","South Northamptonshire 005",0.61,0.58,0.63,0.24,0.19,0.28,0.79,0.78,0.81,"E07000155","South Northamptonshire"
"E02005686","South Northamptonshire 006",0.66,0.62,0.7,0.19,0.14,0.24,0.83,0.81,0.86,"E07000155","South Northamptonshire"
"E02005687","South Northamptonshire 007",0.67,0.63,0.71,0.18,0.12,0.23,0.84,0.81,0.86,"E07000155","South Northamptonshire"
"E02005688","South Northamptonshire 008",0.63,0.59,0.66,0.23,0.17,0.27,0.8,0.77,0.82,"E07000155","South Northamptonshire"
"E02005689","South Northamptonshire 009",0.67,0.64,0.7,0.18,0.13,0.23,0.83,0.81,0.85,"E07000155","South Northamptonshire"
"E02005690","South Northamptonshire 010",0.66,0.64,0.69,0.19,0.14,0.23,0.82,0.8,0.84,"E07000155","South Northamptonshire"
"E02005691","South Northamptonshire 011",0.67,0.63,0.71,0.19,0.13,0.23,0.84,0.81,0.86,"E07000155","South Northamptonshire"
