"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005865","Gedling 001",0.66,0.62,0.69,0.21,0.16,0.26,0.82,0.8,0.84,"E07000173","Gedling"
"E02005866","Gedling 002",0.61,0.57,0.64,0.25,0.21,0.3,0.78,0.75,0.81,"E07000173","Gedling"
"E02005868","Gedling 004",0.57,0.54,0.6,0.27,0.23,0.31,0.76,0.74,0.78,"E07000173","Gedling"
"E02005869","Gedling 005",0.55,0.52,0.58,0.3,0.26,0.35,0.72,0.7,0.75,"E07000173","Gedling"
"E02005870","Gedling 006",0.56,0.52,0.59,0.28,0.24,0.33,0.74,0.71,0.76,"E07000173","Gedling"
"E02005871","Gedling 007",0.62,0.59,0.65,0.24,0.19,0.28,0.8,0.77,0.81,"E07000173","Gedling"
"E02005872","Gedling 008",0.66,0.62,0.69,0.21,0.15,0.25,0.84,0.82,0.86,"E07000173","Gedling"
"E02005873","Gedling 009",0.66,0.63,0.69,0.2,0.15,0.24,0.84,0.82,0.86,"E07000173","Gedling"
"E02005874","Gedling 010",0.65,0.62,0.68,0.2,0.15,0.24,0.83,0.81,0.85,"E07000173","Gedling"
"E02005875","Gedling 011",0.59,0.55,0.62,0.26,0.21,0.3,0.76,0.73,0.78,"E07000173","Gedling"
"E02005876","Gedling 012",0.62,0.59,0.65,0.22,0.18,0.27,0.81,0.78,0.83,"E07000173","Gedling"
"E02005877","Gedling 013",0.62,0.59,0.65,0.24,0.19,0.28,0.78,0.75,0.8,"E07000173","Gedling"
"E02005878","Gedling 014",0.59,0.56,0.62,0.25,0.2,0.29,0.78,0.76,0.8,"E07000173","Gedling"
"E02005879","Gedling 015",0.61,0.57,0.64,0.25,0.2,0.29,0.79,0.76,0.81,"E07000173","Gedling"
"E02006835","Gedling 016",0.57,0.53,0.6,0.26,0.21,0.3,0.75,0.72,0.78,"E07000173","Gedling"
