"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02006204","Staffordshire Moorlands 001",0.58,0.54,0.61,0.29,0.24,0.33,0.73,0.71,0.76,"E07000198","Staffordshire Moorlands"
"E02006205","Staffordshire Moorlands 002",0.64,0.6,0.67,0.22,0.17,0.27,0.81,0.78,0.83,"E07000198","Staffordshire Moorlands"
"E02006206","Staffordshire Moorlands 003",0.55,0.53,0.58,0.29,0.25,0.32,0.73,0.71,0.75,"E07000198","Staffordshire Moorlands"
"E02006207","Staffordshire Moorlands 004",0.59,0.55,0.62,0.26,0.21,0.3,0.77,0.75,0.8,"E07000198","Staffordshire Moorlands"
"E02006208","Staffordshire Moorlands 005",0.6,0.57,0.62,0.27,0.23,0.31,0.75,0.73,0.77,"E07000198","Staffordshire Moorlands"
"E02006209","Staffordshire Moorlands 006",0.62,0.59,0.65,0.24,0.2,0.29,0.79,0.76,0.8,"E07000198","Staffordshire Moorlands"
"E02006210","Staffordshire Moorlands 007",0.62,0.58,0.65,0.23,0.18,0.28,0.76,0.74,0.79,"E07000198","Staffordshire Moorlands"
"E02006211","Staffordshire Moorlands 008",0.62,0.58,0.65,0.24,0.19,0.28,0.8,0.77,0.82,"E07000198","Staffordshire Moorlands"
"E02006212","Staffordshire Moorlands 009",0.58,0.54,0.61,0.28,0.23,0.32,0.74,0.71,0.76,"E07000198","Staffordshire Moorlands"
"E02006213","Staffordshire Moorlands 010",0.58,0.55,0.61,0.27,0.23,0.32,0.73,0.7,0.75,"E07000198","Staffordshire Moorlands"
"E02006214","Staffordshire Moorlands 011",0.56,0.53,0.59,0.3,0.26,0.34,0.71,0.69,0.73,"E07000198","Staffordshire Moorlands"
"E02006215","Staffordshire Moorlands 012",0.6,0.56,0.65,0.25,0.2,0.3,0.76,0.73,0.79,"E07000198","Staffordshire Moorlands"
"E02006216","Staffordshire Moorlands 013",0.61,0.58,0.64,0.26,0.21,0.3,0.76,0.74,0.78,"E07000198","Staffordshire Moorlands"
