"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004751","Hart 001",0.63,0.59,0.66,0.22,0.17,0.27,0.81,0.79,0.83,"E07000089","Hart"
"E02004752","Hart 002",0.65,0.61,0.68,0.2,0.15,0.25,0.82,0.8,0.84,"E07000089","Hart"
"E02004753","Hart 003",0.62,0.57,0.67,0.23,0.17,0.29,0.8,0.77,0.83,"E07000089","Hart"
"E02004754","Hart 004",0.66,0.62,0.7,0.18,0.13,0.23,0.85,0.82,0.87,"E07000089","Hart"
"E02004755","Hart 005",0.7,0.65,0.73,0.17,0.11,0.22,0.87,0.84,0.89,"E07000089","Hart"
"E02004756","Hart 006",0.69,0.65,0.72,0.17,0.12,0.22,0.86,0.84,0.88,"E07000089","Hart"
"E02004757","Hart 007",0.69,0.67,0.72,0.16,0.1,0.21,0.87,0.86,0.88,"E07000089","Hart"
"E02004758","Hart 008",0.67,0.63,0.71,0.19,0.13,0.24,0.85,0.82,0.87,"E07000089","Hart"
"E02004759","Hart 009",0.65,0.61,0.68,0.19,0.14,0.24,0.84,0.82,0.86,"E07000089","Hart"
"E02004760","Hart 010",0.69,0.65,0.73,0.16,0.1,0.21,0.86,0.84,0.88,"E07000089","Hart"
"E02004761","Hart 011",0.71,0.68,0.74,0.16,0.1,0.21,0.87,0.85,0.88,"E07000089","Hart"
