"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004255","North Dorset 001",0.57,0.55,0.59,0.26,0.22,0.3,0.79,0.77,0.8,"E07000050","North Dorset"
"E02004256","North Dorset 002",0.65,0.61,0.69,0.18,0.13,0.23,0.84,0.81,0.86,"E07000050","North Dorset"
"E02004257","North Dorset 003",0.67,0.64,0.7,0.18,0.13,0.22,0.85,0.83,0.86,"E07000050","North Dorset"
"E02004258","North Dorset 004",0.63,0.6,0.66,0.21,0.16,0.25,0.82,0.8,0.84,"E07000050","North Dorset"
"E02004259","North Dorset 005",0.68,0.64,0.72,0.17,0.12,0.22,0.84,0.81,0.87,"E07000050","North Dorset"
"E02004260","North Dorset 006",0.7,0.66,0.73,0.16,0.1,0.21,0.86,0.84,0.88,"E07000050","North Dorset"
"E02004261","North Dorset 007",0.65,0.62,0.67,0.21,0.17,0.25,0.8,0.79,0.81,"E07000050","North Dorset"
"E02004262","North Dorset 008",0.65,0.6,0.69,0.2,0.15,0.25,0.82,0.79,0.85,"E07000050","North Dorset"
