"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005424","East Lindsey 001",0.65,0.6,0.7,0.22,0.16,0.27,0.81,0.78,0.84,"E07000137","East Lindsey"
"E02005425","East Lindsey 002",0.65,0.62,0.69,0.21,0.17,0.26,0.81,0.78,0.84,"E07000137","East Lindsey"
"E02005426","East Lindsey 003",0.62,0.59,0.65,0.24,0.19,0.28,0.8,0.77,0.82,"E07000137","East Lindsey"
"E02005427","East Lindsey 004",0.68,0.65,0.71,0.19,0.14,0.24,0.84,0.82,0.86,"E07000137","East Lindsey"
"E02005428","East Lindsey 005",0.6,0.56,0.63,0.28,0.23,0.33,0.77,0.73,0.8,"E07000137","East Lindsey"
"E02005429","East Lindsey 006",0.55,0.51,0.58,0.3,0.25,0.34,0.78,0.75,0.81,"E07000137","East Lindsey"
"E02005430","East Lindsey 007",0.62,0.56,0.67,0.24,0.19,0.3,0.79,0.75,0.82,"E07000137","East Lindsey"
"E02005431","East Lindsey 008",0.61,0.56,0.67,0.26,0.2,0.31,0.79,0.74,0.84,"E07000137","East Lindsey"
"E02005432","East Lindsey 009",0.65,0.58,0.72,0.21,0.14,0.27,0.82,0.76,0.87,"E07000137","East Lindsey"
"E02005433","East Lindsey 010",0.53,0.48,0.58,0.33,0.28,0.39,0.72,0.68,0.77,"E07000137","East Lindsey"
"E02005434","East Lindsey 011",0.67,0.63,0.71,0.23,0.17,0.27,0.82,0.79,0.85,"E07000137","East Lindsey"
"E02005435","East Lindsey 012",0.52,0.46,0.57,0.35,0.29,0.4,0.69,0.64,0.74,"E07000137","East Lindsey"
"E02005436","East Lindsey 013",0.59,0.52,0.65,0.26,0.19,0.32,0.77,0.71,0.81,"E07000137","East Lindsey"
"E02005437","East Lindsey 014",0.57,0.53,0.61,0.3,0.25,0.35,0.72,0.69,0.76,"E07000137","East Lindsey"
"E02005438","East Lindsey 015",0.52,0.46,0.57,0.34,0.28,0.39,0.71,0.66,0.75,"E07000137","East Lindsey"
"E02005439","East Lindsey 016",0.62,0.57,0.67,0.27,0.21,0.33,0.76,0.72,0.79,"E07000137","East Lindsey"
"E02005440","East Lindsey 017",0.56,0.51,0.61,0.31,0.25,0.36,0.71,0.67,0.75,"E07000137","East Lindsey"
"E02005441","East Lindsey 018",0.56,0.48,0.62,0.29,0.22,0.36,0.74,0.68,0.79,"E07000137","East Lindsey"
