"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02003732","East Cambridgeshire 001",0.57,0.54,0.59,0.28,0.24,0.32,0.74,0.72,0.76,"E07000009","East Cambridgeshire"
"E02003733","East Cambridgeshire 002",0.62,0.57,0.66,0.23,0.18,0.29,0.79,0.76,0.82,"E07000009","East Cambridgeshire"
"E02003734","East Cambridgeshire 003",0.64,0.61,0.67,0.21,0.16,0.26,0.82,0.81,0.84,"E07000009","East Cambridgeshire"
"E02003735","East Cambridgeshire 004",0.66,0.62,0.69,0.2,0.15,0.25,0.84,0.82,0.86,"E07000009","East Cambridgeshire"
"E02003736","East Cambridgeshire 005",0.62,0.58,0.66,0.22,0.17,0.27,0.81,0.78,0.83,"E07000009","East Cambridgeshire"
"E02003737","East Cambridgeshire 006",0.56,0.52,0.6,0.25,0.2,0.3,0.77,0.74,0.8,"E07000009","East Cambridgeshire"
"E02003738","East Cambridgeshire 007",0.58,0.54,0.62,0.24,0.19,0.29,0.78,0.75,0.8,"E07000009","East Cambridgeshire"
"E02003739","East Cambridgeshire 008",0.63,0.6,0.66,0.22,0.17,0.26,0.81,0.79,0.83,"E07000009","East Cambridgeshire"
"E02003740","East Cambridgeshire 009",0.65,0.61,0.69,0.21,0.16,0.27,0.83,0.8,0.85,"E07000009","East Cambridgeshire"
"E02006825","East Cambridgeshire 011",0.62,0.6,0.65,0.22,0.17,0.27,0.81,0.79,0.82,"E07000009","East Cambridgeshire"
