"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02005520","Broadland 001",0.63,0.6,0.67,0.23,0.18,0.28,0.81,0.78,0.83,"E07000144","Broadland"
"E02005521","Broadland 002",0.66,0.61,0.7,0.21,0.15,0.25,0.82,0.78,0.84,"E07000144","Broadland"
"E02005522","Broadland 003",0.65,0.61,0.68,0.23,0.18,0.27,0.8,0.78,0.82,"E07000144","Broadland"
"E02005523","Broadland 004",0.6,0.56,0.64,0.25,0.2,0.3,0.76,0.73,0.79,"E07000144","Broadland"
"E02005524","Broadland 005",0.59,0.55,0.63,0.26,0.22,0.31,0.78,0.75,0.8,"E07000144","Broadland"
"E02005525","Broadland 006",0.67,0.63,0.7,0.2,0.15,0.25,0.81,0.79,0.83,"E07000144","Broadland"
"E02005526","Broadland 007",0.62,0.59,0.65,0.25,0.2,0.29,0.79,0.76,0.81,"E07000144","Broadland"
"E02005527","Broadland 008",0.63,0.59,0.67,0.22,0.17,0.27,0.81,0.78,0.84,"E07000144","Broadland"
"E02005528","Broadland 009",0.61,0.58,0.63,0.26,0.21,0.3,0.78,0.76,0.8,"E07000144","Broadland"
"E02005529","Broadland 010",0.57,0.53,0.61,0.29,0.24,0.34,0.76,0.73,0.78,"E07000144","Broadland"
"E02005530","Broadland 011",0.57,0.53,0.6,0.29,0.24,0.33,0.76,0.73,0.78,"E07000144","Broadland"
"E02005531","Broadland 012",0.61,0.57,0.65,0.25,0.2,0.3,0.78,0.75,0.81,"E07000144","Broadland"
"E02005532","Broadland 013",0.58,0.54,0.62,0.29,0.24,0.33,0.77,0.74,0.8,"E07000144","Broadland"
"E02005533","Broadland 014",0.62,0.58,0.66,0.22,0.17,0.27,0.83,0.8,0.85,"E07000144","Broadland"
"E02005534","Broadland 015",0.6,0.57,0.64,0.26,0.21,0.3,0.79,0.77,0.82,"E07000144","Broadland"
"E02005535","Broadland 016",0.66,0.62,0.7,0.2,0.14,0.25,0.83,0.8,0.85,"E07000144","Broadland"
"E02005536","Broadland 017",0.65,0.61,0.68,0.21,0.15,0.25,0.84,0.82,0.86,"E07000144","Broadland"
"E02005537","Broadland 018",0.6,0.56,0.63,0.25,0.2,0.29,0.81,0.78,0.83,"E07000144","Broadland"
