"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02006416","Surrey Heath 001",0.67,0.61,0.72,0.19,0.13,0.25,0.84,0.81,0.87,"E07000214","Surrey Heath"
"E02006417","Surrey Heath 002",0.67,0.62,0.71,0.22,0.16,0.27,0.82,0.78,0.84,"E07000214","Surrey Heath"
"E02006418","Surrey Heath 003",0.68,0.63,0.72,0.21,0.16,0.26,0.82,0.8,0.85,"E07000214","Surrey Heath"
"E02006419","Surrey Heath 004",0.66,0.62,0.7,0.23,0.18,0.28,0.79,0.76,0.82,"E07000214","Surrey Heath"
"E02006420","Surrey Heath 005",0.68,0.64,0.73,0.2,0.14,0.25,0.84,0.81,0.87,"E07000214","Surrey Heath"
"E02006421","Surrey Heath 006",0.68,0.63,0.73,0.18,0.12,0.23,0.84,0.81,0.87,"E07000214","Surrey Heath"
"E02006422","Surrey Heath 007",0.66,0.63,0.7,0.2,0.15,0.25,0.83,0.81,0.85,"E07000214","Surrey Heath"
"E02006423","Surrey Heath 008",0.64,0.59,0.68,0.26,0.2,0.31,0.78,0.75,0.81,"E07000214","Surrey Heath"
"E02006424","Surrey Heath 009",0.67,0.61,0.71,0.21,0.15,0.26,0.83,0.8,0.86,"E07000214","Surrey Heath"
"E02006425","Surrey Heath 010",0.64,0.61,0.67,0.24,0.19,0.28,0.79,0.77,0.81,"E07000214","Surrey Heath"
"E02006426","Surrey Heath 011",0.66,0.64,0.69,0.19,0.14,0.24,0.82,0.81,0.84,"E07000214","Surrey Heath"
"E02006427","Surrey Heath 012",0.63,0.6,0.67,0.22,0.17,0.27,0.8,0.77,0.82,"E07000214","Surrey Heath"
