"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02004175","North Devon 001",0.63,0.59,0.66,0.24,0.19,0.28,0.8,0.78,0.82,"E07000043","North Devon"
"E02004176","North Devon 002",0.65,0.62,0.68,0.21,0.16,0.26,0.82,0.8,0.85,"E07000043","North Devon"
"E02004177","North Devon 003",0.63,0.6,0.66,0.24,0.19,0.29,0.79,0.77,0.82,"E07000043","North Devon"
"E02004178","North Devon 004",0.69,0.66,0.72,0.19,0.14,0.23,0.86,0.84,0.87,"E07000043","North Devon"
"E02004179","North Devon 005",0.66,0.64,0.69,0.22,0.17,0.26,0.84,0.82,0.86,"E07000043","North Devon"
"E02004180","North Devon 006",0.66,0.61,0.71,0.21,0.15,0.26,0.83,0.8,0.86,"E07000043","North Devon"
"E02004181","North Devon 007",0.6,0.58,0.63,0.26,0.21,0.3,0.79,0.77,0.81,"E07000043","North Devon"
"E02004182","North Devon 008",0.6,0.56,0.63,0.28,0.23,0.33,0.76,0.73,0.78,"E07000043","North Devon"
"E02004183","North Devon 009",0.63,0.59,0.66,0.25,0.21,0.3,0.8,0.77,0.82,"E07000043","North Devon"
"E02004184","North Devon 010",0.62,0.59,0.66,0.24,0.19,0.29,0.79,0.77,0.82,"E07000043","North Devon"
"E02004185","North Devon 011",0.63,0.59,0.66,0.23,0.18,0.27,0.81,0.79,0.83,"E07000043","North Devon"
"E02004186","North Devon 012",0.63,0.59,0.67,0.22,0.17,0.27,0.81,0.78,0.84,"E07000043","North Devon"
"E02004187","North Devon 013",0.63,0.59,0.67,0.23,0.18,0.27,0.81,0.78,0.83,"E07000043","North Devon"
"E02004188","North Devon 014",0.61,0.56,0.65,0.25,0.19,0.29,0.79,0.76,0.82,"E07000043","North Devon"
