"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02000840","Sutton 001",0.56,0.52,0.59,0.3,0.25,0.34,0.73,0.7,0.75,"E09000029","Sutton"
"E02000841","Sutton 002",0.57,0.53,0.6,0.32,0.28,0.36,0.71,0.69,0.74,"E09000029","Sutton"
"E02000842","Sutton 003",0.62,0.59,0.65,0.24,0.19,0.28,0.79,0.77,0.81,"E09000029","Sutton"
"E02000843","Sutton 004",0.62,0.58,0.65,0.24,0.19,0.29,0.78,0.76,0.81,"E09000029","Sutton"
"E02000844","Sutton 005",0.58,0.54,0.61,0.29,0.24,0.33,0.74,0.71,0.77,"E09000029","Sutton"
"E02000845","Sutton 006",0.66,0.62,0.69,0.2,0.14,0.24,0.83,0.81,0.85,"E09000029","Sutton"
"E02000846","Sutton 007",0.61,0.58,0.65,0.24,0.19,0.29,0.79,0.77,0.82,"E09000029","Sutton"
"E02000847","Sutton 008",0.62,0.59,0.66,0.24,0.19,0.28,0.81,0.78,0.83,"E09000029","Sutton"
"E02000848","Sutton 009",0.6,0.57,0.64,0.23,0.18,0.27,0.79,0.77,0.81,"E09000029","Sutton"
"E02000849","Sutton 010",0.63,0.6,0.66,0.23,0.18,0.27,0.79,0.77,0.81,"E09000029","Sutton"
"E02000850","Sutton 011",0.62,0.57,0.67,0.23,0.17,0.28,0.82,0.78,0.84,"E09000029","Sutton"
"E02000851","Sutton 012",0.61,0.57,0.64,0.27,0.22,0.32,0.77,0.74,0.8,"E09000029","Sutton"
"E02000852","Sutton 013",0.64,0.61,0.67,0.21,0.16,0.26,0.81,0.79,0.83,"E09000029","Sutton"
"E02000853","Sutton 014",0.61,0.57,0.65,0.23,0.18,0.28,0.79,0.77,0.81,"E09000029","Sutton"
"E02000854","Sutton 015",0.69,0.65,0.73,0.18,0.13,0.23,0.85,0.82,0.87,"E09000029","Sutton"
"E02000855","Sutton 016",0.66,0.63,0.7,0.2,0.14,0.24,0.84,0.82,0.86,"E09000029","Sutton"
"E02000856","Sutton 017",0.67,0.63,0.7,0.2,0.14,0.24,0.83,0.81,0.85,"E09000029","Sutton"
"E02000857","Sutton 018",0.64,0.61,0.67,0.21,0.16,0.25,0.83,0.81,0.84,"E09000029","Sutton"
"E02000858","Sutton 019",0.6,0.57,0.63,0.27,0.23,0.31,0.74,0.72,0.77,"E09000029","Sutton"
"E02000859","Sutton 020",0.65,0.63,0.68,0.22,0.17,0.26,0.83,0.81,0.84,"E09000029","Sutton"
"E02000860","Sutton 021",0.64,0.6,0.67,0.23,0.17,0.27,0.8,0.78,0.82,"E09000029","Sutton"
"E02000861","Sutton 022",0.71,0.68,0.74,0.17,0.11,0.21,0.87,0.85,0.89,"E09000029","Sutton"
"E02000863","Sutton 024",0.65,0.61,0.69,0.2,0.15,0.25,0.83,0.8,0.85,"E09000029","Sutton"
"E02006836","Sutton 025",0.66,0.62,0.7,0.2,0.14,0.25,0.85,0.83,0.87,"E09000029","Sutton"
