"MSOA_code","MSOA_name","estimateactive","loweractive5","upperactive95","estimateinactive","lowerinactive5","upperinactive95","estimate2xmonth","lower2xmonth5","upper2xmoonth95","LAD17CD","LAD17NM"
"E02002827","Leicester 001",0.55,0.52,0.59,0.3,0.25,0.35,0.7,0.67,0.73,"E06000016","Leicester"
"E02002828","Leicester 002",0.49,0.45,0.54,0.32,0.27,0.37,0.71,0.67,0.75,"E06000016","Leicester"
"E02002829","Leicester 003",0.49,0.44,0.53,0.37,0.32,0.41,0.65,0.61,0.69,"E06000016","Leicester"
"E02002830","Leicester 004",0.53,0.49,0.57,0.34,0.29,0.39,0.68,0.64,0.71,"E06000016","Leicester"
"E02002831","Leicester 005",0.46,0.42,0.5,0.36,0.31,0.4,0.67,0.63,0.7,"E06000016","Leicester"
"E02002832","Leicester 006",0.47,0.42,0.51,0.36,0.31,0.41,0.67,0.63,0.71,"E06000016","Leicester"
"E02002833","Leicester 007",0.46,0.42,0.5,0.36,0.31,0.4,0.66,0.63,0.69,"E06000016","Leicester"
"E02002834","Leicester 008",0.57,0.53,0.62,0.28,0.23,0.33,0.75,0.71,0.78,"E06000016","Leicester"
"E02002835","Leicester 009",0.54,0.5,0.58,0.29,0.24,0.34,0.74,0.7,0.77,"E06000016","Leicester"
"E02002836","Leicester 010",0.42,0.37,0.47,0.39,0.34,0.44,0.63,0.59,0.67,"E06000016","Leicester"
"E02002837","Leicester 011",0.44,0.4,0.49,0.38,0.34,0.43,0.64,0.6,0.68,"E06000016","Leicester"
"E02002838","Leicester 012",0.5,0.46,0.54,0.38,0.33,0.42,0.66,0.63,0.7,"E06000016","Leicester"
"E02002839","Leicester 013",0.48,0.45,0.52,0.36,0.32,0.4,0.7,0.68,0.73,"E06000016","Leicester"
"E02002842","Leicester 016",0.61,0.57,0.64,0.27,0.22,0.31,0.74,0.71,0.77,"E06000016","Leicester"
"E02002843","Leicester 017",0.4,0.35,0.45,0.42,0.37,0.46,0.59,0.55,0.63,"E06000016","Leicester"
"E02002844","Leicester 018",0.41,0.36,0.46,0.45,0.4,0.49,0.58,0.54,0.62,"E06000016","Leicester"
"E02002845","Leicester 019",0.46,0.41,0.51,0.36,0.31,0.41,0.67,0.63,0.71,"E06000016","Leicester"
"E02002846","Leicester 020",0.64,0.6,0.68,0.22,0.16,0.26,0.81,0.78,0.83,"E06000016","Leicester"
"E02002847","Leicester 021",0.44,0.39,0.48,0.39,0.34,0.43,0.62,0.59,0.65,"E06000016","Leicester"
"E02002848","Leicester 022",0.49,0.45,0.53,0.34,0.29,0.38,0.66,0.62,0.69,"E06000016","Leicester"
"E02002849","Leicester 023",0.68,0.63,0.72,0.21,0.15,0.26,0.81,0.77,0.84,"E06000016","Leicester"
"E02002851","Leicester 025",0.5,0.45,0.54,0.34,0.29,0.38,0.72,0.69,0.76,"E06000016","Leicester"
"E02002852","Leicester 026",0.5,0.45,0.55,0.36,0.31,0.41,0.66,0.62,0.7,"E06000016","Leicester"
"E02002853","Leicester 027",0.56,0.51,0.61,0.29,0.23,0.34,0.72,0.68,0.76,"E06000016","Leicester"
"E02002854","Leicester 028",0.54,0.5,0.59,0.32,0.27,0.37,0.7,0.67,0.74,"E06000016","Leicester"
"E02002855","Leicester 029",0.64,0.59,0.68,0.24,0.18,0.28,0.78,0.74,0.81,"E06000016","Leicester"
"E02002856","Leicester 030",0.75,0.72,0.78,0.15,0.1,0.21,0.86,0.84,0.88,"E06000016","Leicester"
"E02002857","Leicester 031",0.62,0.58,0.67,0.25,0.2,0.3,0.76,0.73,0.79,"E06000016","Leicester"
"E02002858","Leicester 032",0.71,0.67,0.74,0.16,0.11,0.21,0.87,0.85,0.89,"E06000016","Leicester"
"E02002860","Leicester 034",0.59,0.55,0.63,0.28,0.23,0.33,0.75,0.72,0.78,"E06000016","Leicester"
"E02002861","Leicester 035",0.51,0.46,0.56,0.37,0.32,0.42,0.66,0.61,0.7,"E06000016","Leicester"
"E02002862","Leicester 036",0.5,0.46,0.54,0.38,0.33,0.42,0.66,0.62,0.69,"E06000016","Leicester"
"E02006815","Leicester 037",0.49,0.44,0.53,0.37,0.32,0.42,0.69,0.65,0.73,"E06000016","Leicester"
"E02006817","Leicester 038",0.63,0.59,0.67,0.24,0.19,0.29,0.78,0.74,0.81,"E06000016","Leicester"
"E02006819","Leicester 039",0.5,0.45,0.54,0.38,0.33,0.43,0.64,0.6,0.68,"E06000016","Leicester"
"E02006850","Leicester 040",0.73,0.69,0.76,0.21,0.15,0.26,0.79,0.76,0.82,"E06000016","Leicester"
"E02006851","Leicester 041",0.75,0.72,0.78,0.17,0.12,0.22,0.83,0.81,0.86,"E06000016","Leicester"
